Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-07-24,Duisburg,Kaiserslautern,1,3,A,3.1,3.2,2.3,2015,,,,,,,,,,,,,,,
2015-07-25,Frankfurt FSV,RB Leipzig,0,1,A,4.0,3.6,1.85,2015,,,,,,,,,,,,,,,
2015-07-25,Greuther Furth,Karlsruhe,1,0,H,2.6,3.2,2.75,2015,,,,,,,,,,,,,,,
2015-07-25,St Pauli,Bielefeld,0,0,D,2.25,3.4,3.1,2015,,,,,,,,,,,,,,,
2015-07-26,Braunschweig,Sandhausen,1,3,A,1.8,3.5,4.5,2015,,,,,,,,,,,,,,,
2015-07-26,Heidenheim,Munich 1860,1,0,H,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-07-26,Paderborn,Bochum,0,1,A,2.15,3.3,3.4,2015,,,,,,,,,,,,,,,
2015-07-26,Union Berlin,Fortuna Dusseldorf,1,1,D,2.25,3.2,3.25,2015,,,,,,,,,,,,,,,
2015-07-27,Freiburg,Nurnberg,6,3,H,2.38,3.25,3.0,2015,,,,,,,,,,,,,,,
2015-07-31,Nurnberg,Heidenheim,3,2,H,2.05,3.4,3.5,2015,,,,,,,,,,,,,,,
2015-07-31,Bielefeld,Frankfurt FSV,0,0,D,1.75,3.5,4.75,2015,,,,,,,,,,,,,,,
2015-07-31,Kaiserslautern,Braunschweig,0,0,D,1.62,3.75,5.5,2015,,,,,,,,,,,,,,,
2015-08-01,Bochum,Duisburg,3,0,H,1.95,3.5,3.75,2015,,,,,,,,,,,,,,,
2015-08-01,Munich 1860,Freiburg,0,1,A,3.6,3.25,2.1,2015,,,,,,,,,,,,,,,
2015-08-02,Fortuna Dusseldorf,Paderborn,1,2,A,2.2,3.4,3.2,2015,,,,,,,,,,,,,,,
2015-08-02,Karlsruhe,St Pauli,1,2,A,1.8,3.6,4.33,2015,,,,,,,,,,,,,,,
2015-08-02,Sandhausen,Union Berlin,4,3,H,2.3,3.3,3.1,2015,,,,,,,,,,,,,,,
2015-08-03,RB Leipzig,Greuther Furth,2,2,D,1.67,3.75,5.0,2015,,,,,,,,,,,,,,,
2015-08-14,Paderborn,Sandhausen,0,6,A,2.1,3.4,3.4,2015,,,,,,,,,,,,,,,
2015-08-14,Frankfurt FSV,Karlsruhe,1,2,A,2.8,3.4,2.45,2015,,,,,,,,,,,,,,,
2015-08-14,Heidenheim,Fortuna Dusseldorf,1,0,H,2.3,3.3,3.1,2015,,,,,,,,,,,,,,,
2015-08-15,Braunschweig,RB Leipzig,0,2,A,2.9,3.3,2.4,2015,,,,,,,,,,,,,,,
2015-08-15,Freiburg,Bochum,1,3,A,1.85,3.8,3.8,2015,,,,,,,,,,,,,,,
2015-08-16,Duisburg,Bielefeld,2,2,D,2.7,3.2,2.6,2015,,,,,,,,,,,,,,,
2015-08-16,St Pauli,Greuther Furth,3,2,H,2.5,3.2,2.8,2015,,,,,,,,,,,,,,,
2015-08-16,Union Berlin,Kaiserslautern,2,2,D,3.2,3.25,2.25,2015,,,,,,,,,,,,,,,
2015-08-17,Nurnberg,Munich 1860,2,2,D,1.73,3.8,4.5,2015,,,,,,,,,,,,,,,
2015-08-21,Greuther Furth,Frankfurt FSV,0,2,A,1.62,3.75,5.5,2015,,,,,,,,,,,,,,,
2015-08-21,Bielefeld,Braunschweig,0,2,A,2.25,3.25,3.2,2015,,,,,,,,,,,,,,,
2015-08-21,Sandhausen,Heidenheim,0,0,D,2.25,3.4,3.1,2015,,,,,,,,,,,,,,,
2015-08-22,Fortuna Dusseldorf,Freiburg,1,2,A,2.5,3.4,2.7,2015,,,,,,,,,,,,,,,
2015-08-22,Karlsruhe,Duisburg,2,0,H,1.62,3.75,5.5,2015,,,,,,,,,,,,,,,
2015-08-23,Bochum,Nurnberg,2,1,H,2.05,3.6,3.4,2015,,,,,,,,,,,,,,,
2015-08-23,Munich 1860,Union Berlin,0,0,D,2.38,3.3,2.9,2015,,,,,,,,,,,,,,,
2015-08-23,RB Leipzig,St Pauli,0,1,A,1.62,3.75,5.5,2015,,,,,,,,,,,,,,,
2015-08-24,Kaiserslautern,Paderborn,1,0,H,1.6,3.8,5.75,2015,,,,,,,,,,,,,,,
2015-08-28,Union Berlin,RB Leipzig,1,1,D,3.4,3.3,2.15,2015,,,,,,,,,,,,,,,
2015-08-28,Heidenheim,Kaiserslautern,3,1,H,3.1,3.3,2.3,2015,,,,,,,,,,,,,,,
2015-08-28,Freiburg,Sandhausen,4,1,H,1.83,3.5,4.2,2015,,,,,,,,,,,,,,,
2015-08-29,Duisburg,Greuther Furth,2,2,D,3.4,3.25,2.15,2015,,,,,,,,,,,,,,,
2015-08-29,Paderborn,Bielefeld,1,2,A,2.38,3.25,3.0,2015,,,,,,,,,,,,,,,
2015-08-30,Braunschweig,Karlsruhe,6,0,H,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-08-30,Frankfurt FSV,St Pauli,1,0,H,2.7,3.2,2.63,2015,,,,,,,,,,,,,,,
2015-08-30,Nurnberg,Fortuna Dusseldorf,1,0,H,2.1,3.5,3.3,2015,,,,,,,,,,,,,,,
2015-08-31,Bochum,Munich 1860,1,0,H,1.75,3.75,4.5,2015,,,,,,,,,,,,,,,
