Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-09-05,Cesena,Brescia,2,0,H,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-09-06,Bari,Spezia,4,3,H,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-09-06,Livorno,Pescara,4,0,H,2.25,3.25,3.2,2015,,,,,,,,,,,,,,,
2015-09-06,Modena,Vicenza,0,1,A,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-09-06,Novara,Latina,1,1,D,2.25,3.25,3.2,2015,,,,,,,,,,,,,,,
2015-09-06,Perugia,Como,2,0,H,1.75,3.4,5.0,2015,,,,,,,,,,,,,,,
2015-09-06,Pro Vercelli,Virtus Lanciano,2,1,H,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2015-09-06,Salernitana,Avellino,3,1,H,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-09-06,Trapani,Ternana,3,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-09-07,Cagliari,Crotone,4,0,H,1.62,3.6,6.0,2015,,,,,,,,,,,,,,,
2015-09-11,Pescara,Perugia,2,1,H,2.5,3.2,2.88,2015,,,,,,,,,,,,,,,
2015-09-12,Virtus Lanciano,Ascoli,2,0,H,1.91,3.2,4.33,2015,,,,,,,,,,,,,,,
2015-09-12,Virtus Entella,Cesena,2,1,H,3.5,3.1,2.2,2015,,,,,,,,,,,,,,,
2015-09-12,Vicenza,Bari,0,0,D,2.6,3.0,2.9,2015,,,,,,,,,,,,,,,
2015-09-12,Ternana,Cagliari,1,1,D,3.8,3.2,2.05,2015,,,,,,,,,,,,,,,
2015-09-12,Como,Livorno,1,2,A,3.0,3.2,2.4,2015,,,,,,,,,,,,,,,
2015-09-12,Brescia,Salernitana,2,2,D,2.7,3.1,2.7,2015,,,,,,,,,,,,,,,
2015-09-12,Avellino,Modena,2,0,H,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2015-09-12,Crotone,Novara,2,1,H,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-09-13,Spezia,Pro Vercelli,1,1,D,1.7,3.6,5.0,2015,,,,,,,,,,,,,,,
2015-09-14,Latina,Trapani,1,1,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-09-15,Ascoli,Virtus Entella,1,0,H,2.45,3.0,3.1,2015,,,,,,,,,,,,,,,
2015-09-18,Livorno,Brescia,3,1,H,1.62,3.6,6.0,2015,,,,,,,,,,,,,,,
2015-09-18,Modena,Ternana,1,0,H,2.2,3.0,3.6,2015,,,,,,,,,,,,,,,
2015-09-19,Salernitana,Spezia,0,2,A,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2015-09-19,Vicenza,Como,3,3,D,1.75,3.4,5.0,2015,,,,,,,,,,,,,,,
2015-09-19,Trapani,Virtus Lanciano,1,1,D,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-09-19,Perugia,Crotone,0,0,D,1.75,3.25,5.25,2015,,,,,,,,,,,,,,,
2015-09-19,Pro Vercelli,Latina,1,1,D,2.63,3.0,2.88,2015,,,,,,,,,,,,,,,
2015-09-19,Cagliari,Avellino,2,1,H,1.8,3.25,5.0,2015,,,,,,,,,,,,,,,
2015-09-19,Bari,Pescara,0,0,D,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-09-19,Ascoli,Cesena,1,3,A,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-09-19,Novara,Virtus Entella,1,0,H,1.95,3.1,4.33,2015,,,,,,,,,,,,,,,
2015-09-21,Ternana,Livorno,2,3,A,3.4,3.0,2.3,2015,,,,,,,,,,,,,,,
2015-09-22,Virtus Entella,Cagliari,1,3,A,4.33,3.2,1.91,2015,,,,,,,,,,,,,,,
2015-09-22,Virtus Lanciano,Vicenza,0,0,D,2.38,3.0,3.25,2015,,,,,,,,,,,,,,,
2015-09-22,Spezia,Perugia,1,0,H,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-09-22,Pescara,Salernitana,1,1,D,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-09-22,Latina,Ascoli,1,0,H,1.85,3.2,4.75,2015,,,,,,,,,,,,,,,
2015-09-22,Crotone,Bari,4,1,H,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-09-22,Como,Trapani,0,0,D,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-09-22,Cesena,Modena,2,0,H,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2015-09-22,Brescia,Pro Vercelli,2,0,H,2.25,3.1,3.4,2015,,,,,,,,,,,,,,,
2015-09-22,Avellino,Novara,0,0,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-09-26,Vicenza,Pescara,2,2,D,2.6,3.0,2.88,2015,,,,,,,,,,,,,,,
2015-09-26,Trapani,Virtus Entella,4,2,H,1.8,3.3,4.75,2015,,,,,,,,,,,,,,,
2015-09-26,Salernitana,Ternana,2,1,H,2.0,3.25,3.8,2015,,,,,,,,,,,,,,,
