Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-08-08,Feyenoord,Utrecht,3,2,H,1.44,4.75,6.0,2015,,,,,,,,,,,,,,,
2015-08-08,Roda,Heracles,3,1,H,2.15,3.5,3.2,2015,,,,,,,,,,,,,,,
2015-08-09,AZ Alkmaar,Ajax,0,3,A,3.0,3.5,2.25,2015,,,,,,,,,,,,,,,
2015-08-09,Willem II,Vitesse,1,1,D,3.0,3.4,2.3,2015,,,,,,,,,,,,,,,
2015-08-11,Den Haag,PSV Eindhoven,2,2,D,5.5,4.0,1.57,2015,,,,,,,,,,,,,,,
2015-08-11,Heerenveen,Graafschap,3,1,H,1.55,4.33,5.25,2015,,,,,,,,,,,,,,,
2015-08-12,Nijmegen,Excelsior,1,0,H,1.75,3.75,4.5,2015,,,,,,,,,,,,,,,
2015-08-12,Zwolle,Cambuur,2,2,D,1.85,3.6,4.0,2015,,,,,,,,,,,,,,,
2015-08-12,Groningen,Twente,1,1,D,2.45,3.4,2.75,2015,,,,,,,,,,,,,,,
2015-08-14,Vitesse,Roda,3,0,H,1.45,4.75,6.0,2015,,,,,,,,,,,,,,,
2015-08-15,Ajax,Willem II,3,0,H,1.33,5.0,9.0,2015,,,,,,,,,,,,,,,
2015-08-15,Excelsior,AZ Alkmaar,2,2,D,3.1,3.3,2.3,2015,,,,,,,,,,,,,,,
2015-08-15,Graafschap,Zwolle,0,3,A,2.6,3.6,2.5,2015,,,,,,,,,,,,,,,
2015-08-15,Twente,Den Haag,1,4,A,1.62,4.0,5.0,2015,,,,,,,,,,,,,,,
2015-08-16,PSV Eindhoven,Groningen,2,0,H,1.29,5.0,11.0,2015,,,,,,,,,,,,,,,
2015-08-16,Cambuur,Feyenoord,0,2,A,4.2,3.6,1.83,2015,,,,,,,,,,,,,,,
2015-08-16,Heracles,Nijmegen,3,0,H,2.2,3.6,3.0,2015,,,,,,,,,,,,,,,
