Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-08-14,Tondela,Sp Lisbon,1.0,2.0,A,13.0,5.25,1.25,2015,,,,,,,,,,,,,,,
2015-08-15,Belenenses,Rio Ave,3.0,3.0,D,2.45,3.1,3.0,2015,,,,,,,,,,,,,,,
2015-08-15,Porto,Guimaraes,3.0,0.0,H,1.18,6.5,15.0,2015,,,,,,,,,,,,,,,
2015-08-16,Benfica,Estoril,4.0,0.0,H,1.3,5.5,9.0,2015,,,,,,,,,,,,,,,
2015-08-16,Moreirense,Arouca,0.0,2.0,A,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-08-16,Setubal,Boavista,2.0,2.0,D,2.25,3.2,3.25,2015,,,,,,,,,,,,,,,
2015-08-16,Sp Braga,Nacional,2.0,1.0,H,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-08-16,Uniao Madeira,Maritimo,2.0,1.0,H,2.8,3.25,2.5,2015,,,,,,,,,,,,,,,
2015-08-17,Pacos Ferreira,Academica,1.0,0.0,H,1.8,3.3,4.75,2015,,,,,,,,,,,,,,,
2015-08-21,Rio Ave,Sp Braga,1.0,0.0,H,3.25,3.2,2.25,2015,,,,,,,,,,,,,,,
2015-08-22,Maritimo,Porto,1.0,1.0,D,9.0,4.5,1.36,2015,,,,,,,,,,,,,,,
2015-08-22,Sp Lisbon,Pacos Ferreira,1.0,1.0,D,1.33,5.0,9.0,2015,,,,,,,,,,,,,,,
2015-08-23,Arouca,Benfica,1.0,0.0,H,10.0,4.75,1.33,2015,,,,,,,,,,,,,,,
2015-08-23,Boavista,Tondela,1.0,0.0,H,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2015-08-23,Estoril,Moreirense,2.0,0.0,H,1.7,3.5,5.25,2015,,,,,,,,,,,,,,,
2015-08-23,Guimaraes,Belenenses,1.0,1.0,D,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2015-08-23,Nacional,Uniao Madeira,1.0,0.0,H,1.8,3.4,4.75,2015,,,,,,,,,,,,,,,
2015-08-24,Academica,Setubal,0.0,4.0,A,2.15,3.3,3.4,2015,,,,,,,,,,,,,,,
2015-08-29,Setubal,Rio Ave,2.0,2.0,D,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-08-29,Benfica,Moreirense,3.0,2.0,H,1.2,6.0,15.0,2015,,,,,,,,,,,,,,,
2015-08-29,Porto,Estoril,2.0,0.0,H,1.17,6.5,17.0,2015,,,,,,,,,,,,,,,
2015-08-30,Academica,Sp Lisbon,1.0,3.0,A,8.5,4.33,1.4,2015,,,,,,,,,,,,,,,
2015-08-30,Pacos Ferreira,Arouca,1.0,1.0,D,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2015-08-30,Sp Braga,Boavista,4.0,0.0,H,1.5,3.6,8.5,2015,,,,,,,,,,,,,,,
2015-08-30,Tondela,Nacional,1.0,0.0,H,2.9,3.1,2.5,2015,,,,,,,,,,,,,,,
2015-08-31,Belenenses,Maritimo,1.0,1.0,D,2.3,3.1,3.25,2015,,,,,,,,,,,,,,,
2015-08-31,Uniao Madeira,Guimaraes,0.0,0.0,D,2.9,3.1,2.5,2015,,,,,,,,,,,,,,,
2015-09-11,Benfica,Belenenses,6.0,0.0,H,1.25,5.5,13.0,2015,,,,,,,,,,,,,,,
2015-09-12,Arouca,Porto,1.0,3.0,A,9.5,4.5,1.36,2015,,,,,,,,,,,,,,,
2015-09-12,Estoril,Sp Braga,1.0,0.0,H,3.0,3.2,2.4,2015,,,,,,,,,,,,,,,
