Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-08-22,Alcorcon,Mallorca,2,0,H,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-08-22,Cordoba,Valladolid,1,0,H,2.5,3.2,2.88,2015,,,,,,,,,,,,,,,
2015-08-22,Huesca,Alaves,2,3,A,2.3,3.2,3.1,2015,,,,,,,,,,,,,,,
2015-08-22,Llagostera,Osasuna,0,2,A,2.4,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-08-23,Almeria,Leganes,3,2,H,1.91,3.3,4.2,2015,,,,,,,,,,,,,,,
2015-08-23,Gimnastic,Albacete,2,2,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-08-23,Mirandes,Zaragoza,1,1,D,2.6,3.2,2.75,2015,,,,,,,,,,,,,,,
2015-08-23,Numancia,Tenerife,6,3,H,2.25,3.2,3.2,2015,,,,,,,,,,,,,,,
2015-08-23,Oviedo,Lugo,2,2,D,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
2015-08-23,Ponferradina,Elche,2,0,H,1.75,3.5,4.75,2015,,,,,,,,,,,,,,,
2015-08-24,Ath Bilbao B,Girona,0,1,A,2.25,3.4,3.1,2015,,,,,,,,,,,,,,,
2015-08-29,Zaragoza,Almeria,3,2,H,2.2,3.4,3.2,2015,,,,,,,,,,,,,,,
2015-08-29,Leganes,Cordoba,3,1,H,2.15,3.25,3.4,2015,,,,,,,,,,,,,,,
2015-08-29,Lugo,Llagostera,1,0,H,2.15,3.1,3.6,2015,,,,,,,,,,,,,,,
2015-08-29,Albacete,Huesca,1,1,D,1.85,3.4,4.33,2015,,,,,,,,,,,,,,,
2015-08-29,Girona,Numancia,2,3,A,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2015-08-30,Alaves,Oviedo,2,0,H,2.3,3.1,3.2,2015,,,,,,,,,,,,,,,
2015-08-30,Elche,Ath Bilbao B,2,1,H,2.25,3.2,3.25,2015,,,,,,,,,,,,,,,
2015-08-30,Mallorca,Ponferradina,1,0,H,2.38,3.0,3.25,2015,,,,,,,,,,,,,,,
2015-08-30,Osasuna,Mirandes,1,0,H,1.8,3.5,4.5,2015,,,,,,,,,,,,,,,
2015-08-30,Tenerife,Gimnastic,1,2,A,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2015-08-30,Valladolid,Alcorcon,2,0,H,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-09-05,Gimnastic,Girona,1,0,H,2.88,3.2,2.5,2015,,,,,,,,,,,,,,,
2015-09-05,Huesca,Tenerife,1,1,D,2.3,3.2,3.2,2015,,,,,,,,,,,,,,,
2015-09-05,Mirandes,Lugo,1,1,D,2.3,3.1,3.2,2015,,,,,,,,,,,,,,,
2015-09-05,Numancia,Elche,0,0,D,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2015-09-06,Oviedo,Albacete,3,1,H,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-09-06,Ponferradina,Valladolid,3,0,H,2.4,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-09-06,Llagostera,Alaves,3,0,H,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-09-06,Cordoba,Alcorcon,1,3,A,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2015-09-06,Ath Bilbao B,Mallorca,3,1,H,2.38,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-09-06,Almeria,Osasuna,2,1,H,1.85,3.5,4.2,2015,,,,,,,,,,,,,,,
2015-09-06,Leganes,Zaragoza,1,1,D,2.3,3.25,3.1,2015,,,,,,,,,,,,,,,
2015-09-12,Alaves,Mirandes,2,3,A,1.8,3.4,4.75,2015,,,,,,,,,,,,,,,
2015-09-12,Elche,Gimnastic,1,0,H,2.1,3.3,3.5,2015,,,,,,,,,,,,,,,
2015-09-12,Osasuna,Leganes,2,1,H,2.1,3.3,3.5,2015,,,,,,,,,,,,,,,
2015-09-12,Valladolid,Ath Bilbao B,1,0,H,1.8,3.1,5.25,2015,,,,,,,,,,,,,,,
2015-09-12,Zaragoza,Cordoba,0,1,A,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
2015-09-13,Tenerife,Oviedo,0,2,A,2.3,3.25,3.1,2015,,,,,,,,,,,,,,,
2015-09-13,Lugo,Almeria,1,0,H,2.5,3.2,2.88,2015,,,,,,,,,,,,,,,
2015-09-13,Mallorca,Numancia,0,0,D,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-09-13,Alcorcon,Ponferradina,1,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-09-13,Albacete,Llagostera,1,0,H,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-09-13,Girona,Huesca,0,0,D,1.85,3.6,4.0,2015,,,,,,,,,,,,,,,
2015-09-19,Ath Bilbao B,Alcorcon,1,0,H,2.6,3.1,2.8,2015,,,,,,,,,,,,,,,
2015-09-19,Leganes,Lugo,0,0,D,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-09-19,Llagostera,Tenerife,0,2,A,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
