Season,Date,HomeTeam,AwayTeam,Bet_On,Handicap,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-23,Aston Villa,Everton,Away AH,0.25,0.6502,2.0,0.3005,0.1502,False,920.0,920.0,924.875
2019,2019-08-24,Watford,West Ham,Away AH,-0.25,1.0,2.02,1.0,0.505,True,995.072,995.072,1000.3448
2019,2019-08-24,Liverpool,Arsenal,Away AH,-1.25,0.8006,1.87,0.5715,0.2659,False,915.46624,915.46624,920.3172159999999
2019,2019-08-24,Sheffield United,Leicester,Home AH,0.25,0.8799,1.99,0.7586,0.3774,False,842.2289407999999,842.2289407999999,846.69183872
2019,2019-08-24,Norwich,Chelsea,Home AH,0.75,0.9487,1.86,0.889,0.411,False,774.8506255359999,774.8506255359999,778.9564916224
2019,2019-08-24,Brighton,Southampton,Home AH,-0.25,0.9608,2.08,0.9245,0.48,False,712.86257549312,712.86257549312,716.639972292608
2019,2019-08-24,Man United,Crystal Palace,Away AH,-1.5,0.6837,1.75,0.2619,0.1122,True,755.6343300227071,755.6343300227071,751.8314739320019
2019,2019-08-25,Tottenham,Newcastle,Home AH,-1.75,0.8471,1.98,0.6911,0.3421,False,695.1835836208905,695.1835836208905,691.6849560174418
2019,2019-08-25,Wolves,Burnley,Away AH,-0.5,0.8038,2.07,0.6204,0.3207,True,754.6912983788387,754.6912983788387,750.8931882525347
2019,2019-08-31,Southampton,Man United,Away AH,0.25,0.7422,1.75,0.3986,0.1708,False,694.3159945085316,694.3159945085316,690.821733192332
2019,2019-08-31,Chelsea,Sheffield United,Away AH,-1.5,0.8969,1.75,0.7593,0.3254,True,735.9749541790435,735.9749541790435,732.2710371838718
2019,2019-08-31,Newcastle,Watford,Home AH,0.0,0.6478,1.9,0.2565,0.1215,False,677.09695784472,677.09695784472,685.314156924456
2019,2019-08-31,West Ham,Norwich,Away AH,-0.5,0.635,2.03,0.2807,0.1424,False,622.9292012171425,622.9292012171425,637.2222359622823
2019,2019-08-31,Burnley,Liverpool,Home AH,1.5,0.6394,1.9,0.2388,0.1131,False,573.094865119771,573.094865119771,599.180068475334
2019,2019-09-01,Everton,Wolves,Away AH,-0.25,0.8651,2.07,0.7391,0.382,False,527.2472759101894,527.2472759101894,551.2456629973072
2019,2019-09-14,Tottenham,Crystal Palace,Away AH,-1.25,0.9045,2.0,0.809,0.4045,False,485.06749383737423,485.06749383737423,507.14600995752266
2019,2019-09-14,Wolves,Chelsea,Home AH,0.25,0.7228,1.81,0.3806,0.1703,False,446.2620943303843,446.2620943303843,466.57432916092085
2019,2019-09-14,Norwich,Man City,Away AH,2.5,0.7467,2.04,0.5032,0.2565,False,410.56112678395357,410.56112678395357,429.24838282804717
2019,2019-09-14,Brighton,Burnley,Away AH,-0.25,0.696,2.07,0.4119,0.2129,True,445.70515923666,445.70515923666,465.992044398128
2019,2019-09-14,Man United,Leicester,Away AH,-0.5,0.6408,1.96,0.2666,0.1306,False,410.04874649772717,410.04874649772717,434.9336746389927
2019,2019-09-15,Watford,Arsenal,Away AH,0.5,0.7358,2.04,0.4817,0.2456,False,377.244846777909,377.244846777909,400.1389806678733
2019,2019-09-21,Man City,Watford,Home AH,-2.5,0.769,1.98,0.5332,0.2639,True,406.8208427652971,406.8208427652971,431.50987675223456
2019,2019-09-21,Everton,Sheffield United,Away AH,-0.75,0.6554,2.03,0.3208,0.1628,True,440.34288020915756,440.34288020915756,467.06629059661867
2019,2019-09-22,Arsenal,Aston Villa,Away AH,-1.25,0.7051,1.98,0.4042,0.2,True,474.8657620175555,474.8657620175555,503.68428777939357
2019,2019-09-22,Chelsea,Liverpool,Away AH,0.5,0.8513,2.06,0.711,0.3658,True,515.1343786366442,515.1343786366442,546.3967153830862
2019,2019-09-28,Everton,Man City,Away AH,1.5,0.8265,1.9,0.6337,0.3002,True,552.2240538984826,552.2240538984826,585.7372788906684
2019,2019-09-28,Crystal Palace,Norwich,Away AH,-0.5,0.6222,2.0,0.2445,0.1222,False,508.04612958660397,508.04612958660397,549.9340877184763
2019,2019-09-28,Chelsea,Brighton,Away AH,-1.25,0.627,1.9,0.2125,0.1007,False,467.40243921967567,467.40243921967567,520.7188393084323
2019,2019-09-28,Aston Villa,Burnley,Away AH,-0.25,0.7444,1.86,0.4473,0.2068,True,499.5597270379894,499.5597270379894,556.5442954528525
2019,2019-09-28,Wolves,Watford,Home AH,-0.5,0.7938,1.9,0.5646,0.2674,True,535.5280273847246,535.5280273847246,596.6154847254578
2019,2019-10-05,Watford,Sheffield United,Away AH,-0.25,0.9273,2.07,0.8593,0.4442,True,581.3692265288571,581.3692265288571,647.685770217957
2019,2019-10-05,Burnley,Everton,Home AH,0.25,0.8658,1.7,0.674,0.2775,True,613.9259032144731,613.9259032144731,683.9561733501627
2019,2019-10-05,Brighton,Tottenham,Away AH,0.5,0.6837,1.98,0.361,0.1787,False,564.8118309573152,564.8118309573152,629.2396794821497
2019,2019-10-05,Liverpool,Leicester,Away AH,-1.25,0.7294,1.86,0.4147,0.1917,True,603.6708849271786,603.6708849271786,672.5313694305215
2019,2019-10-06,Arsenal,Bournemouth,Away AH,-1.25,0.7069,1.96,0.4017,0.1967,True,650.0328088895859,650.0328088895859,724.1817786027856
