Season,Date,HomeTeam,AwayTeam,Bet_On,Handicap,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-09-14,Fiorentina,Juventus,Away AH,0.75,0.7605,1.93,0.503,0.2424,False,920.0,920.0,920.0
2019,2019-09-14,Inter,Udinese,Home AH,-1.5,0.8202,2.06,0.6506,0.3348,False,846.4,846.4,846.4
2019,2019-09-15,Genoa,Atalanta,Home AH,0.25,0.7189,2.05,0.4512,0.2311,False,778.688,778.688,778.688
2019,2019-09-15,Brescia,Bologna,Home AH,0.25,0.7413,1.86,0.4405,0.2037,False,716.39296,716.39296,716.39296
2019,2019-09-15,Parma,Cagliari,Home AH,-0.25,0.7377,1.98,0.4701,0.2327,False,659.0815232,659.0815232,659.0815232
2019,2019-09-15,Spal,Lazio,Away AH,1.0,0.6689,2.09,0.3652,0.1905,False,606.355001344,606.355001344,606.355001344
2019,2019-09-15,Roma,Sassuolo,Away AH,-0.75,0.74,2.04,0.49,0.2498,False,557.84660123648,557.84660123648,557.84660123648
2019,2019-09-15,Verona,Milan,Home AH,0.75,0.8918,2.03,0.7868,0.3992,False,513.2188731375616,513.2188731375616,513.2188731375616
2019,2019-09-16,Torino,Lecce,Home AH,-1.0,0.9278,1.87,0.8448,0.393,False,472.16136328655665,472.16136328655665,472.16136328655665
2019,2019-09-21,Udinese,Brescia,Away AH,-0.5,0.7329,2.02,0.4711,0.2379,True,510.68973053073967,510.68973053073967,510.68973053073967
2019,2019-09-21,Milan,Inter,Home AH,0.25,0.6338,1.96,0.2522,0.1235,False,469.8345520882805,469.8345520882805,478.49074302077656
2019,2019-09-21,Juventus,Verona,Away AH,-2.0,0.8359,2.05,0.6796,0.3481,True,509.30065446369605,509.30065446369605,518.6839654345218
2019,2019-09-22,Sampdoria,Torino,Away AH,0.0,0.9393,2.07,0.8825,0.4562,False,468.5566021066004,468.5566021066004,477.1892481997601
2019,2019-09-22,Atalanta,Fiorentina,Home AH,-0.5,0.7226,2.05,0.4584,0.2348,False,431.0720739380724,431.0720739380724,439.01410834377924
2019,2019-09-22,Lecce,Napoli,Away AH,1.5,0.7239,2.06,0.4635,0.2385,True,467.6269858080209,467.6269858080209,476.24250473133174
2019,2019-09-22,Bologna,Roma,Home AH,0.25,0.7007,1.72,0.285,0.1193,False,430.2168269433792,430.2168269433792,442.31022626922436
2019,2019-09-25,Parma,Sassuolo,Away AH,0.0,0.7098,1.99,0.4166,0.2072,False,395.79948078790886,395.79948078790886,406.9254081676864
2019,2019-09-25,Spal,Lecce,Home AH,-0.5,0.6093,2.02,0.2262,0.1142,False,364.13552232487615,364.13552232487615,383.91377633580373
2019,2019-09-25,Inter,Lazio,Home AH,-0.5,0.657,2.05,0.3304,0.1692,True,394.72290620016577,394.72290620016577,416.16253354801125
2019,2019-09-25,Genoa,Bologna,Away AH,-0.25,0.6984,1.85,0.3435,0.1578,True,421.56406382177704,421.56406382177704,444.46158582927603
