tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2016-01-04,Brisbane,A,Hard,3,Mikhail Kukushkin,Denis Istomin,6-2 7-5,67.0,36.0,27.0,20.0,53.0,32.0,22.0,12.0
2016-01-04,Brisbane,A,Hard,3,Radek Stepanek,Dusan Lajovic,6-0 6-3,48.0,25.0,18.0,16.0,46.0,25.0,15.0,8.0
2016-01-04,Brisbane,A,Hard,3,Bernard Tomic,Nicolas Mahut,6-4 6-3,59.0,34.0,28.0,14.0,50.0,29.0,21.0,10.0
2016-01-04,Brisbane,A,Hard,3,Ivan Dodig,Oliver Anderson,6-3 6-2,49.0,30.0,24.0,13.0,52.0,30.0,22.0,9.0
2016-01-04,Brisbane,A,Hard,3,Lucas Pouille,Yoshihito Nishioka,4-6 6-3 7-5,95.0,64.0,53.0,15.0,120.0,64.0,42.0,30.0
2016-01-04,Brisbane,A,Hard,3,David Goffin,Thomaz Bellucci,6-4 6-4,57.0,30.0,23.0,16.0,66.0,40.0,25.0,15.0
2016-01-04,Brisbane,A,Hard,3,Dominic Thiem,James Duckworth,3-6 6-4 6-3,80.0,48.0,35.0,21.0,93.0,42.0,32.0,26.0
2016-01-04,Brisbane,A,Hard,3,Denis Kudla,John Patrick Smith,4-6 6-3 6-2,73.0,44.0,36.0,19.0,85.0,40.0,25.0,25.0
2016-01-04,Brisbane,A,Hard,3,Hyeon Chung,Sam Groth,7-6(8) 6-4,73.0,48.0,35.0,14.0,84.0,52.0,39.0,10.0
2016-01-04,Brisbane,A,Hard,3,Grigor Dimitrov,Gilles Simon,6-3 7-6(10),81.0,46.0,36.0,18.0,91.0,55.0,36.0,16.0
2016-01-04,Brisbane,A,Hard,3,Viktor Troicki,Steve Johnson,7-6(3) 6-1,56.0,34.0,28.0,13.0,62.0,33.0,20.0,14.0
2016-01-04,Brisbane,A,Hard,3,Tobias Kamke,Benjamin Mitchell,6-2 6-4,59.0,36.0,29.0,13.0,59.0,37.0,24.0,10.0
2016-01-04,Brisbane,A,Hard,3,Kei Nishikori,Mikhail Kukushkin,6-3 6-4,61.0,40.0,29.0,13.0,58.0,36.0,23.0,10.0
