Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-31,West Ham,Norwich,BTTS Yes,0.9411,1.44,0.8073,0.2467,False,920.0,920.0,920.0
2019,2019-09-14,Wolves,Chelsea,BTTS Yes,0.6584,1.9,0.2788,0.1321,True,986.24,986.24,977.7116
2019,2019-09-21,Burnley,Norwich,BTTS Yes,0.7745,1.66,0.4329,0.1721,False,907.3408,907.3408,899.494672
2019,2019-09-22,Chelsea,Liverpool,BTTS Yes,0.7753,1.57,0.381,0.1383,True,948.71554048,948.71554048,940.5116290432001
2019,2019-10-06,Southampton,Chelsea,BTTS Yes,0.7316,1.72,0.3587,0.1502,True,1003.361555611648,1003.361555611648,994.6850988760884
2019,2019-10-26,Burnley,Chelsea,BTTS Yes,0.732,1.66,0.326,0.1296,True,1056.339045747943,1056.339045747943,1047.2044720967458
2019,2019-11-09,Southampton,Everton,BTTS Yes,0.681,1.9,0.3265,0.1547,True,1132.3954570417948,1132.3954570417948,1122.6031940877115
2019,2019-11-10,Wolves,Aston Villa,BTTS Yes,0.6828,1.9,0.3304,0.1565,True,1213.927929948804,1213.927929948804,1203.4306240620267
2019,2019-11-23,Man City,Chelsea,BTTS Yes,0.8433,1.4,0.4517,0.129,True,1252.7736237071656,1252.7736237071656,1241.9404040320117
2019,2019-12-04,Man United,Tottenham,BTTS Yes,0.6832,1.8,0.2873,0.1277,True,1332.9511356244243,1332.9511356244243,1313.3022996476911
2019,2019-12-08,Newcastle,Southampton,BTTS Yes,0.6637,2.1,0.3579,0.1875,True,1450.2508355593736,1450.2508355593736,1428.872902016688
2019,2019-12-14,Southampton,West Ham,BTTS Yes,0.7588,1.61,0.3633,0.1377,False,1334.2307687146238,1334.2307687146238,1314.563069855353
2019,2019-12-14,Burnley,Newcastle,BTTS Yes,0.7215,2.1,0.4682,0.2453,False,1227.4923072174538,1227.4923072174538,1209.3980242669247
2019,2019-12-15,Man United,Everton,BTTS Yes,0.7046,1.8,0.3354,0.1491,True,1306.0518148793708,1306.0518148793708,1286.799497820008
2019,2019-12-21,Aston Villa,Southampton,BTTS Yes,0.7694,1.61,0.3914,0.1483,True,1369.7871434454842,1369.7871434454842,1349.5953133136243
2019,2019-12-26,Everton,Burnley,BTTS Yes,0.709,1.9,0.3856,0.1826,False,1260.2041719698454,1260.2041719698454,1241.6276882485342
