Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Actual_Result,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2018,2018-08-11,Huddersfield,Chelsea,A,0.6365,1.61,0.0406,A,True,1024.766,1012.383,1006.1915
2018,2018-08-19,Brighton,Man United,A,0.5942,1.75,0.053,H,False,973.5277000000001,985.5548505,992.859462625
2018,2018-08-26,Fulham,Burnley,H,0.5755,2.0,0.151,H,True,1022.2040850000001,1034.832593025,1030.3399073390938
2018,2018-09-01,Everton,Huddersfield,H,0.6675,1.53,0.0402,D,False,981.111480783,1014.0324579051976,1019.9849912703359
2018,2018-09-17,Southampton,Brighton,H,0.5551,2.1,0.1507,D,False,932.0559067438501,963.3308350099377,981.557056724226
2018,2018-09-22,Leicester,Huddersfield,H,0.6433,1.61,0.0585,H,True,960.4836118995376,980.5190654336025,990.313772616527
2018,2018-09-23,Arsenal,Everton,H,0.7284,1.44,0.111,H,True,981.6142513613274,1002.0904848731417,1002.4055037801747
2018,2018-10-06,Man United,Newcastle,H,0.7054,1.44,0.036,H,True,997.1630211028909,1010.0270415133369,1006.3750295751443
2018,2018-10-20,Wolves,Watford,H,0.6106,1.75,0.0914,A,False,947.3048700477464,963.8688057161775,983.3793601493522
2018,2018-10-21,Everton,Crystal Palace,H,0.5815,1.85,0.0892,H,True,987.5653270247756,1000.4090721408777,1002.0193159209832
2018,2018-10-28,Burnley,Chelsea,A,0.7512,1.36,0.06,A,True,1005.3415029112215,1011.2134901199992,1007.4302202269565
2018,2018-11-03,West Ham,Burnley,H,0.602,1.75,0.0713,H,True,1043.0418092703924,1038.2508108120826,1020.8983029836156
2018,2018-11-10,Leicester,Burnley,H,0.6847,1.5,0.0541,D,False,990.8897188068728,1010.1661263796158,1007.0906534357622
2018,2018-12-01,Crystal Palace,Burnley,H,0.642,1.61,0.055,H,True,1021.1118552304824,1027.1116631496338,1015.5376262914547
2018,2018-12-10,Everton,Watford,H,0.5855,1.8,0.0673,D,False,970.0562624689583,992.5493556846486,998.4512057291009
2018,2018-12-15,Wolves,Bournemouth,H,0.5663,1.95,0.1097,H,True,1016.1339349362338,1039.6954500796694,1024.4646038303656
2018,2018-12-21,Wolves,Liverpool,A,0.6521,1.57,0.0417,A,True,1040.2864224357331,1052.0517106561413,1030.5522286224766
2018,2018-12-29,Liverpool,Arsenal,H,0.7278,1.5,0.1833,H,True,1066.2935829966264,1078.3530034225448,1054.164756560789
2018,2019-01-02,West Ham,Brighton,H,0.5637,1.95,0.1044,D,False,1012.978903846795,1024.4353532514176,1026.6510564145526
2018,2019-01-29,Fulham,Brighton,H,0.5565,2.37,0.2327,H,True,1082.3679587603006,1094.6091749491397,1096.9766537789494
2018,2019-01-30,Tottenham,Watford,H,0.7547,1.66,0.383,H,True,1118.0861013993904,1130.7312777224613,1133.1768833536548
2018,2019-02-02,Tottenham,Newcastle,H,0.7748,1.44,0.263,H,True,1142.683995630177,1155.6073658323555,1158.1067747874351
2018,2019-02-09,Crystal Palace,West Ham,H,0.5724,2.1,0.1837,D,False,1085.549795848668,1097.8269975407377,1104.920721155322
2018,2019-02-10,Tottenham,Leicester,H,0.6886,1.7,0.2437,H,True,1123.5440387033714,1136.2509424546636,1143.5929463957584
2018,2019-02-23,Burnley,Tottenham,A,0.6204,1.7,0.078,H,False,1067.3668367682028,1091.9371556989317,1121.292883941041
2018,2019-02-26,Leicester,Brighton,H,0.6239,1.9,0.2061,H,True,1115.398344422772,1141.0743277053837,1171.751063718388
2018,2019-02-27,Southampton,Fulham,H,0.6028,1.9,0.1615,H,True,1165.5912699217968,1192.4226724521259,1214.3295679962548
2018,2019-03-02,Brighton,Huddersfield,H,0.5653,1.85,0.054,H,True,1215.1288988934732,1219.7887727849022,1228.263999789012
2018,2019-03-30,Man United,Watford,H,0.7185,1.44,0.0789,H,True,1241.8617346691296,1240.9618663029025,1238.9241030431808
2018,2019-03-31,Liverpool,Tottenham,H,0.6502,1.61,0.0767,H,True,1279.738517576538,1269.9923077222595,1253.4154885454511
2018,2019-04-21,Arsenal,Crystal Palace,H,0.7101,1.53,0.1632,A,False,1215.751591697711,1206.4926923361465,1202.2761366127968
2018,2019-04-27,Fulham,Cardiff,H,0.571,2.4,0.2645,H,True,1300.854203116551,1290.9471807996767,1286.4354661756925
2019,2019-08-17,Everton,Watford,H,0.6449,1.72,0.1518,H,True,1347.6849544287468,1337.421279308465,1321.586028853477
2019,2019-08-18,Chelsea,Leicester,H,0.6464,1.7,0.1413,D,False,1280.3007067073095,1270.5502153430418,1274.901002384228
2019,2019-08-24,Liverpool,Arsenal,H,0.6949,1.5,0.0847,H,True,1312.3082243749923,1297.4541161529307,1288.399016746971
