Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-23,Aston Villa,Everton,Under 2.5,0.9102,2.1,0.8285,0.434,2,True,1055.0,1055.0,1055.0
2019,2019-08-24,Watford,West Ham,Under 2.5,0.9452,2.1,0.8953,0.469,4,False,1002.25,1002.25,1002.25
2019,2019-08-24,Sheffield United,Leicester,Under 2.5,0.9692,1.61,0.9187,0.3481,3,False,952.1375,952.1375,952.1375
2019,2019-08-24,Man United,Crystal Palace,Under 2.5,0.8918,2.1,0.7935,0.4156,3,False,904.5306250000001,904.5306250000001,904.5306250000001
2019,2019-08-25,Wolves,Burnley,Under 2.5,0.8683,1.61,0.6525,0.2472,2,True,932.1188090625001,932.1188090625001,932.1188090625001
2019,2019-08-31,Crystal Palace,Aston Villa,Under 2.5,0.7497,1.9,0.4716,0.2234,1,True,974.0641554703126,974.0641554703126,974.0641554703126
2019,2019-08-31,Newcastle,Watford,Under 2.5,0.7323,1.8,0.3976,0.1767,2,True,1013.0267216891251,1013.0267216891251,1013.0267216891251
2019,2019-09-01,Everton,Wolves,Under 2.5,0.9806,1.66,0.9513,0.3782,5,False,962.3753856046688,962.3753856046688,962.3753856046688
2019,2019-09-14,Tottenham,Crystal Palace,Under 2.5,0.7694,2.3,0.592,0.3346,4,False,914.2566163244354,914.2566163244354,914.2566163244354
2019,2019-10-05,West Ham,Crystal Palace,Under 2.5,0.6614,2.0,0.3228,0.1614,3,False,868.5437855082137,868.5437855082137,868.5437855082137
2019,2019-10-21,Sheffield United,Arsenal,Under 2.5,0.6184,2.2,0.3003,0.1638,1,True,920.6564126387065,920.6564126387065,920.6564126387065
2019,2019-10-26,West Ham,Sheffield United,Under 2.5,0.7227,1.9,0.4145,0.1964,2,True,962.0859512074483,962.0859512074483,962.0859512074483
2019,2019-10-27,Arsenal,Crystal Palace,Under 2.5,0.5869,2.5,0.3115,0.1869,4,False,913.9816536470759,913.9816536470759,913.9816536470759
2019,2019-12-26,Bournemouth,Arsenal,Under 2.5,0.7091,2.37,0.4968,0.2872,2,True,976.5893969219005,976.5893969219005,976.5893969219005
2019,2019-12-28,Watford,Aston Villa,Under 2.5,0.6276,2.1,0.2891,0.1515,3,False,927.7599270758055,927.7599270758055,927.7599270758055
2019,2020-01-01,Norwich,Crystal Palace,Under 2.5,0.7031,1.9,0.3731,0.1767,2,True,969.5091237942167,969.5091237942167,969.5091237942167
2019,2020-01-11,Crystal Palace,Arsenal,Under 2.5,0.6547,2.0,0.3094,0.1547,2,True,1017.9845799839276,1017.9845799839276,1017.9845799839276
2019,2020-02-01,Crystal Palace,Sheffield United,Under 2.5,0.8173,1.5,0.4518,0.1506,1,True,1043.4341944835257,1043.4341944835257,1043.4341944835257
2019,2020-03-07,Sheffield United,Norwich,Under 2.5,0.8102,1.72,0.5465,0.2288,1,True,1080.9978254849327,1080.9978254849327,1080.9978254849327
2019,2020-06-21,Newcastle,Sheffield United,Under 2.5,0.8746,1.53,0.638,0.221,3,False,1026.947934210686,1026.947934210686,1026.947934210686
2019,2020-06-24,Man United,Sheffield United,Under 2.5,0.781,1.8,0.5073,0.2254,3,False,975.6005375001517,975.6005375001517,975.6005375001517
2019,2020-06-24,Liverpool,Crystal Palace,Under 2.5,0.6067,2.2,0.279,0.1522,4,False,926.8205106251442,926.8205106251442,926.8205106251442
2019,2020-07-04,Norwich,Brighton,Under 2.5,0.8017,1.72,0.5262,0.2203,1,True,960.1860490076493,960.1860490076493,960.1860490076493
2019,2020-07-07,Watford,Norwich,Under 2.5,0.7545,1.8,0.4476,0.1989,3,False,912.1767465572668,912.1767465572668,912.1767465572668
2019,2020-07-26,Burnley,Brighton,Under 2.5,0.7798,1.9,0.5352,0.2535,3,False,866.5679092294035,866.5679092294035,866.5679092294035
2020,2020-12-13,Arsenal,Burnley,Under 2.5,0.7698,1.9,0.5139,0.2434,1,True,905.5634651447267,905.5634651447267,905.5634651447267
2020,2020-12-15,Man City,West Brom,Under 2.5,0.5084,3.2,0.2849,0.1959,2,True,1005.1754463106466,1005.1754463106466,1005.1754463106466
2020,2020-12-21,Burnley,Wolves,Under 2.5,0.8521,1.53,0.5731,0.1985,3,False,954.9166739951143,954.9166739951143,954.9166739951143
2020,2020-12-26,Man City,Newcastle,Under 2.5,0.5218,3.2,0.3044,0.2093,2,True,1059.9575081345768,1059.9575081345768,1059.9575081345768
2020,2020-12-27,Leeds,Burnley,Under 2.5,0.595,2.37,0.2993,0.173,1,True,1132.5645974417953,1132.5645974417953,1132.5645974417953
2020,2020-12-29,Burnley,Sheffield United,Under 2.5,0.8346,1.57,0.5445,0.1977,1,True,1164.8426884688865,1164.8426884688865,1164.8426884688865
2020,2020-12-29,Brighton,Arsenal,Under 2.5,0.7476,1.8,0.4321,0.1921,1,True,1211.436396007642,1211.436396007642,1211.436396007642
2020,2021-01-02,West Brom,Arsenal,Under 2.5,0.7216,1.9,0.4123,0.1953,4,False,1150.86457620726,1150.86457620726,1150.86457620726
2020,2021-01-13,Tottenham,Fulham,Under 2.5,0.7358,2.2,0.5157,0.2813,2,True,1219.9164507796954,1219.9164507796954,1219.9164507796954
2020,2021-01-13,Man City,Brighton,Under 2.5,0.566,2.62,0.2981,0.1843,1,True,1318.7296832928507,1318.7296832928507,1318.7296832928507
2020,2021-01-16,West Ham,Burnley,Under 2.5,0.8262,1.72,0.5848,0.2448,1,True,1366.2039518913934,1366.2039518913934,1366.2039518913934
2020,2021-01-17,Sheffield United,Tottenham,Under 2.5,0.7442,1.8,0.4245,0.1887,4,False,1297.8937542968238,1297.8937542968238,1297.8937542968238
2020,2021-01-21,Liverpool,Burnley,Under 2.5,0.6813,2.5,0.4689,0.2813,1,True,1395.2357858690855,1395.2357858690855,1395.2357858690855
2020,2021-01-26,Southampton,Arsenal,Under 2.5,0.7307,2.0,0.4614,0.2307,4,False,1325.4739965756312,1325.4739965756312,1325.4739965756312
2020,2021-01-27,Burnley,Aston Villa,Under 2.5,0.8055,1.9,0.5894,0.2792,5,False,1259.2002967468497,1259.2002967468497,1259.2002967468497
2020,2021-01-28,Tottenham,Liverpool,Under 2.5,0.7342,2.0,0.4684,0.2342,4,False,1196.2402819095073,1196.2402819095073,1196.2402819095073
2020,2021-01-30,Southampton,Aston Villa,Under 2.5,0.641,2.1,0.3146,0.1648,1,True,1262.0334974145303,1262.0334974145303,1262.0334974145303
2020,2021-01-31,Chelsea,Burnley,Under 2.5,0.7656,2.1,0.5524,0.2894,2,True,1331.4453397723296,1331.4453397723296,1331.4453397723296
2020,2021-02-02,Man United,Southampton,Under 2.5,0.6309,2.5,0.3849,0.2309,9,False,1264.873072783713,1264.873072783713,1264.873072783713
2020,2021-02-03,Burnley,Man City,Under 2.5,0.8239,2.2,0.6771,0.3693,2,True,1340.7654571507358,1340.7654571507358,1340.7654571507358
2020,2021-02-03,Fulham,Leicester,Under 2.5,0.7125,1.8,0.3531,0.157,2,True,1394.3960754367652,1394.3960754367652,1394.3960754367652
2020,2021-02-03,Liverpool,Brighton,Under 2.5,0.6124,2.2,0.2894,0.1578,1,True,1478.0598399629712,1478.0598399629712,1478.0598399629712
2020,2021-02-06,Burnley,Brighton,Under 2.5,0.8619,1.53,0.6013,0.2083,2,True,1517.2284257219899,1517.2284257219899,1517.2284257219899
2020,2021-02-06,Newcastle,Southampton,Under 2.5,0.7487,1.8,0.4346,0.1931,5,False,1441.3670044358903,1441.3670044358903,1441.3670044358903
2020,2021-02-14,Everton,Fulham,Under 2.5,0.7655,1.8,0.4723,0.2099,2,True,1499.021684613326,1499.021684613326,1499.021684613326
2020,2021-02-17,Burnley,Fulham,Under 2.5,0.8279,1.61,0.5458,0.2068,2,True,1544.7418459940325,1544.7418459940325,1544.7418459940325
2020,2021-02-20,Fulham,Sheffield United,Under 2.5,0.7816,1.61,0.4236,0.1605,1,True,1591.8564722968504,1591.8564722968504,1591.8564722968504
2020,2021-02-28,Sheffield United,Liverpool,Under 2.5,0.6601,2.2,0.3769,0.2056,2,True,1687.3678606346614,1687.3678606346614,1687.3678606346614
2020,2021-03-04,Liverpool,Chelsea,Under 2.5,0.6887,2.0,0.3775,0.1887,1,True,1771.7362536663945,1771.7362536663945,1771.7362536663945
2020,2021-03-07,Liverpool,Fulham,Under 2.5,0.7507,2.1,0.524,0.2745,1,True,1869.1817476180463,1869.1817476180463,1869.1817476180463
2020,2021-03-08,Chelsea,Everton,Under 2.5,0.7178,1.92,0.4111,0.197,2,True,1955.1641080084764,1955.1641080084764,1955.1641080084764
2020,2021-03-13,Leeds,Chelsea,Under 2.5,0.7223,2.0,0.4446,0.2223,0,True,2052.9223134089,2052.9223134089,2052.9223134089
2020,2021-04-03,Chelsea,West Brom,Under 2.5,0.7599,2.1,0.5416,0.2837,7,False,1950.2761977384553,1950.2761977384553,1950.2761977384553
2020,2021-04-04,Aston Villa,Fulham,Under 2.5,0.9155,1.66,0.7875,0.3131,4,False,1852.7623878515326,1852.7623878515326,1852.7623878515326
2020,2021-04-10,Liverpool,Aston Villa,Under 2.5,0.6718,2.3,0.4193,0.237,3,False,1760.124268458956,1760.124268458956,1760.124268458956
2020,2021-04-25,Aston Villa,West Brom,Under 2.5,0.7365,1.9,0.4437,0.2102,4,False,1672.1180550360082,1672.1180550360082,1672.1180550360082
2020,2021-05-01,Brighton,Leeds,Under 2.5,0.8244,1.9,0.6294,0.2981,2,True,1747.3633675126284,1747.3633675126284,1747.3633675126284
2020,2021-05-09,Aston Villa,Man United,Under 2.5,0.6404,2.1,0.3136,0.1643,4,False,1659.995199136997,1659.995199136997,1659.995199136997
2020,2021-05-13,Man United,Liverpool,Under 2.5,0.762,2.1,0.5457,0.2858,6,False,1576.995439180147,1576.995439180147,1576.995439180147
2020,2021-05-16,Everton,Sheffield United,Under 2.5,0.715,2.0,0.43,0.215,1,True,1655.8452111391543,1655.8452111391543,1655.8452111391543
2020,2021-05-19,Everton,Wolves,Under 2.5,0.7371,1.8,0.4084,0.1815,1,True,1722.0790195847205,1722.0790195847205,1722.0790195847205
2021,2021-08-28,Aston Villa,Brentford,Under 2.5,0.8599,1.9,0.7043,0.3336,2,True,1799.572575466033,1799.572575466033,1799.572575466033
2021,2021-09-11,Brentford,Brighton,Under 2.5,0.8478,1.53,0.5607,0.1942,1,True,1847.2612487158829,1847.2612487158829,1847.2612487158829
2021,2021-09-18,Wolves,Brentford,Under 2.5,0.8901,1.53,0.6829,0.2366,2,True,1896.2136718068537,1896.2136718068537,1896.2136718068537
2021,2021-10-23,Southampton,Burnley,Under 2.5,0.7973,1.9,0.5721,0.271,4,False,1801.402988216511,1801.402988216511,1801.402988216511
2021,2021-11-21,Tottenham,Leeds,Under 2.5,0.6331,2.1,0.2996,0.1569,3,False,1711.3328388056855,1711.3328388056855,1711.3328388056855
2021,2021-11-27,Brighton,Leeds,Under 2.5,0.7182,1.95,0.4216,0.2054,0,True,1792.6211486489556,1792.6211486489556,1792.6211486489556
2021,2021-12-11,Man City,Wolves,Under 2.5,0.6433,2.5,0.4056,0.2433,1,True,1927.0677347976273,1927.0677347976273,1927.0677347976273
2021,2021-12-15,Brighton,Wolves,Under 2.5,0.8336,1.53,0.5197,0.18,1,True,1978.1350297697645,1978.1350297697645,1978.1350297697645
2021,2022-01-03,Man United,Wolves,Under 2.5,0.8456,1.92,0.6777,0.3247,1,True,2069.1292411391737,2069.1292411391737,2069.1292411391737
2021,2022-01-15,Wolves,Southampton,Under 2.5,0.8409,1.53,0.5407,0.1873,4,False,1965.6727790822151,1965.6727790822151,1965.6727790822151
2021,2022-01-22,Brentford,Wolves,Under 2.5,0.8637,1.53,0.6065,0.2101,3,False,1867.3891401281044,1867.3891401281044,1867.3891401281044
2021,2022-02-10,Wolves,Arsenal,Under 2.5,0.8109,1.61,0.501,0.1898,1,True,1924.3445089020115,1924.3445089020115,1924.3445089020115
2021,2022-02-13,Tottenham,Wolves,Under 2.5,0.8151,1.66,0.5349,0.2127,2,True,1987.847877695778,1987.847877695778,1987.847877695778
2021,2022-02-15,Man United,Brighton,Under 2.5,0.6864,1.98,0.3664,0.1813,2,True,2085.252423702871,2085.252423702871,2085.252423702871
2021,2022-04-02,Burnley,Man City,Under 2.5,0.7053,2.37,0.4902,0.2834,2,True,2228.092214726518,2228.092214726518,2228.092214726518
2021,2022-04-06,Burnley,Everton,Under 2.5,0.7697,1.66,0.4208,0.1673,5,False,2116.6876039901917,2116.6876039901917,2116.6876039901917
2021,2022-04-24,Brighton,Southampton,Under 2.5,0.7151,1.88,0.3914,0.1832,4,False,2010.8532237906823,2010.8532237906823,2010.8532237906823
2021,2022-05-19,Everton,Crystal Palace,Under 2.5,0.7742,1.8,0.492,0.2187,5,False,1910.3105626011481,1910.3105626011481,1910.3105626011481
2022,2022-08-14,Nott'm Forest,West Ham,Under 2.5,0.7083,1.98,0.4107,0.2033,1,True,2003.9157801686044,2003.9157801686044,2003.9157801686044
2022,2022-08-20,Everton,Nott'm Forest,Under 2.5,0.763,1.72,0.4337,0.1816,2,True,2076.0567482546744,2076.0567482546744,2076.0567482546744
2022,2022-08-28,Nott'm Forest,Tottenham,Under 2.5,0.7095,2.1,0.4454,0.2333,2,True,2190.2398694086814,2190.2398694086814,2190.2398694086814
2022,2022-10-15,Wolves,Nott'm Forest,Under 2.5,0.7557,1.84,0.465,0.2123,1,True,2282.229943923846,2282.229943923846,2282.229943923846
2022,2022-12-26,Everton,Wolves,Under 2.5,0.7577,1.67,0.3961,0.1589,3,False,2168.1184467276535,2168.1184467276535,2168.1184467276535
2022,2023-01-14,Nott'm Forest,Leicester,Under 2.5,0.7537,1.87,0.4707,0.219,2,True,2262.431599160306,2262.431599160306,2262.431599160306
2022,2023-01-15,Chelsea,Crystal Palace,Under 2.5,0.748,1.88,0.4616,0.216,1,True,2361.9785895233595,2361.9785895233595,2361.9785895233595
2022,2023-01-21,Liverpool,Chelsea,Under 2.5,0.664,2.1,0.3586,0.1878,0,True,2491.8874119471443,2491.8874119471443,2491.8874119471443
2022,2023-02-03,Chelsea,Fulham,Under 2.5,0.741,1.99,0.4795,0.2385,0,True,2615.235838838528,2615.235838838528,2615.235838838528
2022,2023-02-11,West Ham,Chelsea,Under 2.5,0.8079,1.67,0.5213,0.2091,2,True,2702.8462394396183,2702.8462394396183,2702.8462394396183
2022,2023-02-11,Fulham,Nott'm Forest,Under 2.5,0.7433,1.73,0.3917,0.1653,2,True,2801.5001271791643,2801.5001271791643,2801.5001271791643
2022,2023-02-18,Chelsea,Southampton,Under 2.5,0.7885,1.92,0.5586,0.2676,1,True,2930.369133029406,2930.369133029406,2930.369133029406
2022,2023-03-04,Chelsea,Leeds,Under 2.5,0.8781,1.95,0.7498,0.3653,1,True,3069.5616668483026,3069.5616668483026,3069.5616668483026
