Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-31,Schalke 04,Hertha,Under 2.5,0.9267,1.9,0.8452,0.4003,3,False,920.0,920.0,920.0
2019,2019-09-15,Hoffenheim,Freiburg,Under 2.5,0.5864,2.37,0.2844,0.1644,3,False,846.4,846.4,854.588
2019,2019-09-23,Wolfsburg,Hoffenheim,Under 2.5,0.5685,2.5,0.2808,0.1685,2,True,947.968,947.968,944.5761163999999
2019,2019-09-28,Hoffenheim,M'gladbach,Under 2.5,0.6902,2.37,0.464,0.2682,3,False,872.13056,872.13056,869.0100270879999
2019,2019-11-02,Dortmund,Wolfsburg,Under 2.5,0.675,2.3,0.425,0.2402,3,False,802.3601152,802.3601152,799.4892249209599
2019,2019-11-10,Wolfsburg,Leverkusen,Under 2.5,0.652,2.0,0.304,0.152,2,True,866.548924416,866.548924416,860.2504060149529
2019,2020-01-19,Paderborn,Leverkusen,Under 2.5,0.5738,2.75,0.3303,0.2102,5,False,797.22501046272,797.22501046272,791.4303735337567
2019,2020-05-30,Schalke 04,Werder Bremen,Under 2.5,0.831,1.9,0.6433,0.3047,1,True,854.6252112160358,854.6252112160358,848.4133604281872
2019,2020-06-13,Paderborn,Werder Bremen,Under 2.5,0.7661,2.1,0.5534,0.2899,6,False,786.255194318753,786.255194318753,780.5402915939321
2019,2020-06-20,Mainz,Werder Bremen,Under 2.5,0.634,2.1,0.3012,0.1578,4,False,723.3547787732527,723.3547787732527,721.7656076369091
2019,2020-06-27,Augsburg,RB Leipzig,Under 2.5,0.5178,3.2,0.2986,0.2053,3,False,665.4863964713925,665.4863964713925,667.8858050268138
2020,2020-09-20,RB Leipzig,Mainz,Under 2.5,0.4827,3.2,0.2476,0.1702,4,False,612.2474847536811,612.2474847536811,626.5436736956541
2020,2020-09-26,Augsburg,Dortmund,Under 2.5,0.588,2.5,0.3133,0.188,2,True,685.7171829241228,685.7171829241228,700.1547235589723
2020,2020-10-03,Werder Bremen,Bielefeld,Under 2.5,0.7582,2.1,0.5384,0.282,1,True,746.0602950214455,746.0602950214455,761.7683392321618
2020,2020-10-17,Augsburg,RB Leipzig,Under 2.5,0.5723,2.5,0.2872,0.1723,2,True,835.587530424019,835.587530424019,843.8107893674656
2020,2020-10-17,Mainz,Leverkusen,Under 2.5,0.587,2.75,0.351,0.2234,1,True,952.5697846833816,952.5697846833816,961.9442998789109
2020,2020-10-25,Wolfsburg,Bielefeld,Under 2.5,0.6981,1.99,0.3931,0.1956,3,False,876.364201908711,876.364201908711,884.988755888598
2020,2020-10-26,Leverkusen,Augsburg,Under 2.5,0.7452,2.37,0.5591,0.3232,4,False,806.2550657560141,806.2550657560141,814.1896554175102
2020,2020-10-31,Bielefeld,Dortmund,Under 2.5,0.6339,2.37,0.3667,0.212,2,True,894.6206209628733,894.6206209628733,903.4248416512693
2020,2021-01-23,Mainz,RB Leipzig,Under 2.5,0.6103,2.2,0.2856,0.1558,5,False,823.0509712858434,823.0509712858434,838.9203079573687
2020,2021-02-12,RB Leipzig,Augsburg,Under 2.5,0.5774,2.37,0.269,0.1555,3,False,757.2068935829759,757.2068935829759,782.5029172472356
2020,2021-03-20,Ein Frankfurt,Union Berlin,Under 2.5,0.6935,2.0,0.3869,0.1935,7,False,696.6303420963378,696.6303420963378,719.9026838674567
2020,2021-04-17,Freiburg,Schalke 04,Under 2.5,0.7429,1.9,0.4572,0.2166,4,False,640.8999147286308,640.8999147286308,662.3104691580602
2020,2021-04-20,Bielefeld,Schalke 04,Under 2.5,0.7113,1.8,0.3504,0.1557,1,True,681.9175092712633,681.9175092712633,704.698339184176
2020,2021-05-06,Hertha,Freiburg,Under 2.5,0.6918,1.9,0.3494,0.1655,3,False,627.3641085295623,627.3641085295623,648.3224720494419
2020,2021-05-09,Hertha,Bielefeld,Under 2.5,0.6818,1.96,0.3503,0.1716,0,True,675.5456720646326,675.5456720646326,698.1136379028391
2020,2021-05-15,Bielefeld,Hoffenheim,Under 2.5,0.7915,2.1,0.602,0.3154,2,True,734.9936912063204,734.9936912063204,759.5476380382889
2020,2021-05-22,Stuttgart,Bielefeld,Under 2.5,0.6956,2.75,0.5216,0.332,2,True,837.8928079752052,837.8928079752052,865.8843073636494
2020,2021-05-22,Hoffenheim,Hertha,Under 2.5,0.6007,3.0,0.401,0.2673,3,False,770.8613833371887,770.8613833371887,796.6135627745575
2021,2021-08-14,Bielefeld,Freiburg,Under 2.5,0.6819,1.88,0.3205,0.15,0,True,825.1300247241268,825.1300247241268,852.6951575938864
2021,2021-08-21,Bochum,Mainz,Under 2.5,0.8848,2.0,0.7697,0.3848,2,True,891.1404267020569,891.1404267020569,920.9107702013973
2021,2021-08-28,FC Koln,Bochum,Under 2.5,0.6999,2.1,0.4271,0.2237,3,False,819.8491925658923,819.8491925658923,847.2379085852856
2021,2021-10-17,Augsburg,Bielefeld,Under 2.5,0.7764,1.66,0.4375,0.174,2,True,863.1372299333714,863.1372299333714,891.9720701585886
2021,2021-12-14,Bielefeld,Bochum,Under 2.5,0.6845,1.96,0.3559,0.1743,2,True,929.4261691922543,929.4261691922543,960.4755251467682
2021,2022-04-23,Ein Frankfurt,Hoffenheim,Under 2.5,0.7199,2.5,0.5331,0.3199,4,False,855.072075656874,855.072075656874,883.6374831350267
2021,2022-05-02,Leverkusen,Ein Frankfurt,Under 2.5,0.5674,2.75,0.3202,0.2038,2,True,974.7821662488363,974.7821662488363,1007.3467307739305
2021,2022-05-14,Stuttgart,FC Koln,Under 2.5,0.5123,3.0,0.2685,0.179,3,False,896.7995929489294,896.7995929489294,939.7285814707304
2021,2022-05-14,Mainz,Ein Frankfurt,Under 2.5,0.5375,3.0,0.3063,0.2042,4,False,825.0556255130151,825.0556255130151,867.7688653446093
2021,2022-05-14,Augsburg,Greuther Furth,Under 2.5,0.5613,3.0,0.3419,0.2279,3,False,759.0511754719739,759.0511754719739,798.3473561170405
2022,2023-02-25,Schalke 04,Stuttgart,Under 2.5,0.7557,1.8,0.4504,0.2002,3,False,698.327081434216,698.327081434216,734.4795676276773
2022,2023-04-08,Augsburg,FC Koln,Under 2.5,0.6671,2.02,0.3408,0.1721,4,False,642.4609149194787,642.4609149194787,675.7212022174631
2022,2023-04-14,Schalke 04,Hertha,Under 2.5,0.7284,1.73,0.3563,0.1504,7,False,591.0640417259203,591.0640417259203,621.6635060400661
