Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-16,Huddersfield,Fulham,Under 2.5,0.7492,1.8,0.4356,0.1936,3,False,920.0,920.0,920.0
2019,2019-08-17,Brentford,Hull,Under 2.5,0.8456,2.2,0.7169,0.3911,2,True,1008.32,1008.32,1008.32
2019,2019-08-17,Swansea,Preston,Under 2.5,0.8923,1.9,0.7727,0.366,5,False,927.6544,927.6544,927.6544
2019,2019-08-17,Nott'm Forest,Birmingham,Under 2.5,0.7458,1.72,0.3928,0.1644,3,False,853.442048,853.442048,853.442048
2019,2019-08-21,Fulham,Millwall,Under 2.5,0.9164,2.0,0.8329,0.4164,4,False,785.16668416,785.16668416,785.16668416
2019,2019-08-21,Leeds,Brentford,Under 2.5,0.7649,2.1,0.5511,0.2887,1,True,854.26135236608,854.26135236608,854.26135236608
2019,2019-08-24,Charlton,Brentford,Under 2.5,0.6824,1.9,0.3295,0.1561,1,True,915.7681697364378,915.7681697364378,915.7681697364378
2019,2019-08-31,Brentford,Derby,Under 2.5,0.8601,1.9,0.7047,0.3338,3,False,842.5067161575228,842.5067161575228,842.5067161575228
2019,2019-08-31,West Brom,Blackburn,Under 2.5,0.783,2.1,0.5858,0.3068,5,False,775.1061788649209,775.1061788649209,775.1061788649209
2019,2019-09-29,Barnsley,Brentford,Under 2.5,0.8849,2.1,0.7803,0.4087,4,False,713.0976845557273,713.0976845557273,713.0976845557273
2019,2019-10-05,Millwall,Leeds,Under 2.5,0.6917,1.9,0.3491,0.1654,3,False,656.0498697912691,656.0498697912691,656.0498697912691
2019,2019-10-05,Nott'm Forest,Brentford,Under 2.5,0.7119,1.8,0.3517,0.1563,1,True,698.0370614579103,698.0370614579103,698.0370614579103
2019,2019-10-19,Brentford,Millwall,Under 2.5,0.7234,1.9,0.416,0.1971,5,False,642.1940965412775,642.1940965412775,642.1940965412775
2019,2019-10-26,Sheffield Weds,Leeds,Under 2.5,0.8063,1.8,0.5642,0.2508,0,True,683.2945187199193,683.2945187199193,683.2945187199193
2019,2019-11-02,Wigan,Swansea,Under 2.5,0.7531,1.9,0.4787,0.2267,3,False,628.6309572223258,628.6309572223258,628.6309572223258
2019,2019-11-09,Sheffield Weds,Swansea,Under 2.5,0.7396,1.8,0.4142,0.1841,4,False,578.3404806445398,578.3404806445398,578.3404806445398
2019,2019-11-26,Reading,Leeds,Under 2.5,0.6899,1.9,0.3454,0.1636,1,True,619.9809952509466,619.9809952509466,619.9809952509466
2019,2019-11-30,Leeds,Middlesbrough,Under 2.5,0.7138,2.2,0.4753,0.2593,4,False,570.3825156308709,570.3825156308709,570.3825156308709
2019,2019-12-10,Nott'm Forest,Middlesbrough,Under 2.5,0.6978,1.9,0.3619,0.1714,2,True,611.4500567562936,611.4500567562936,611.4500567562936
2019,2019-12-11,Derby,Sheffield Weds,Under 2.5,0.7235,1.8,0.3778,0.1679,2,True,650.5828603886964,650.5828603886964,650.5828603886964
2019,2019-12-14,Swansea,Middlesbrough,Under 2.5,0.6572,2.0,0.3143,0.1572,4,False,598.5362315576007,598.5362315576007,599.4633121336545
2019,2019-12-21,Reading,Derby,Under 2.5,0.7304,1.8,0.3935,0.1749,3,False,550.6533330329926,550.6533330329926,551.5062471629622
2019,2020-02-14,Hull,Swansea,Under 2.5,0.7093,2.0,0.4187,0.2093,8,False,506.60106639035314,506.60106639035314,507.3857473899252
2019,2020-02-26,Fulham,Swansea,Under 2.5,0.6553,2.0,0.3106,0.1553,1,True,547.1291517015813,547.1291517015813,546.7842506747529
2019,2020-02-29,Fulham,Preston,Under 2.5,0.6895,1.9,0.3445,0.1632,2,True,586.5224506240952,586.5224506240952,586.1527167233351
