Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-24,Brest,Reims,Under 2.5,0.936,1.57,0.8237,0.299,1.0,True,1045.6,1045.6,1045.6
2019,2019-08-25,Monaco,Nimes,Under 2.5,0.8324,2.0,0.6647,0.3324,4.0,False,961.9519999999999,961.9519999999999,961.9519999999999
2019,2019-08-25,Strasbourg,Rennes,Under 2.5,0.9293,1.61,0.8134,0.3082,2.0,True,1008.8952575999999,1008.8952575999999,1008.8952575999999
2019,2019-08-31,Nantes,Montpellier,Under 2.5,0.8541,1.57,0.5981,0.2172,1.0,True,1054.90088134656,1054.90088134656,1054.90088134656
2019,2019-09-01,Strasbourg,Monaco,Under 2.5,0.7848,1.66,0.4588,0.1824,4.0,False,970.5088108388352,970.5088108388352,970.5088108388352
2019,2019-09-01,Reims,Lille,Under 2.5,0.9232,1.5,0.7697,0.2566,2.0,True,1009.3291632723885,1009.3291632723885,1009.3291632723885
2019,2019-09-15,Nantes,Reims,Under 2.5,0.929,1.5,0.787,0.2623,1.0,True,1049.702329803284,1049.702329803284,1049.702329803284
2019,2019-09-20,Strasbourg,Nantes,Under 2.5,0.8158,1.53,0.4684,0.1622,3.0,False,965.7261434190214,965.7261434190214,965.7261434190214
2019,2019-09-25,Nantes,Rennes,Under 2.5,0.788,1.57,0.4161,0.1511,1.0,True,1009.7632555589288,1009.7632555589288,1009.7632555589288
2019,2019-09-28,Reims,Dijon,Under 2.5,0.8709,1.61,0.6593,0.2498,3.0,False,928.9821951142145,928.9821951142145,928.9821951142145
2019,2019-09-29,Strasbourg,Montpellier,Under 2.5,0.7946,1.57,0.4342,0.1576,1.0,True,971.3437832114226,971.3437832114226,971.3437832114226
2019,2019-09-29,Marseille,Rennes,Under 2.5,0.7266,1.8,0.3849,0.171,2.0,True,1033.5097853369537,1033.5097853369537,1033.5097853369537
2019,2019-10-05,Dijon,Strasbourg,Under 2.5,0.8189,1.61,0.5219,0.1977,1.0,True,1083.945062861397,1083.945062861397,1083.945062861397
2019,2019-10-06,Rennes,Reims,Under 2.5,0.8952,1.53,0.6975,0.2416,1.0,True,1129.9043335267202,1129.9043335267202,1129.9043335267202
2019,2019-10-19,Reims,Montpellier,Under 2.5,0.8923,1.5,0.677,0.2257,1.0,True,1175.100506867789,1175.100506867789,1175.100506867789
2019,2019-10-19,Lyon,Dijon,Under 2.5,0.5767,2.5,0.2946,0.1767,0.0,True,1316.1125676919237,1316.1125676919237,1304.919735364008
2019,2019-10-26,Reims,Nimes,Under 2.5,0.794,1.66,0.4818,0.1916,0.0,True,1385.6033112660573,1385.6033112660573,1373.8194973912275
