Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-09-15,Brescia,Bologna,Under 2.5,0.9785,1.9,0.9547,0.4522,7.0,False,920.0,920.0,920.0
2019,2019-09-15,Verona,Milan,Under 2.5,0.9809,1.8,0.957,0.4253,1.0,True,978.88,978.88,978.88
2019,2019-09-21,Milan,Inter,Under 2.5,0.9629,1.72,0.9114,0.3815,2.0,True,1035.263488,1035.263488,1035.263488
2019,2019-09-21,Juventus,Verona,Under 2.5,0.8381,2.37,0.72,0.4162,3.0,False,952.4424089600001,952.4424089600001,952.4424089600001
2019,2019-09-24,Verona,Udinese,Under 2.5,0.895,1.66,0.7359,0.2926,0.0,True,1002.731368153088,1002.731368153088,1002.731368153088
2019,2019-09-26,Torino,Milan,Under 2.5,0.7853,1.72,0.4871,0.2039,3.0,False,922.512858700841,922.512858700841,922.512858700841
2019,2019-09-29,Udinese,Bologna,Under 2.5,0.8099,1.8,0.5723,0.2544,1.0,True,981.5536816576948,981.5536816576948,981.5536816576948
2019,2019-09-29,Cagliari,Verona,Under 2.5,0.7836,1.66,0.4556,0.1812,2.0,True,1033.379716049221,1033.379716049221,1033.379716049221
2019,2019-10-05,Verona,Sampdoria,Under 2.5,0.7264,1.9,0.4224,0.2001,2.0,True,1107.783055604765,1107.783055604765,1107.783055604765
2019,2019-10-19,Napoli,Verona,Under 2.5,0.5926,2.5,0.321,0.1926,2.0,True,1240.7170222773368,1240.7170222773368,1240.7170222773368
2019,2019-10-20,Udinese,Torino,Under 2.5,0.8169,1.66,0.5395,0.2145,1.0,True,1306.2268810535802,1306.2268810535802,1306.2268810535802
2019,2019-11-03,Verona,Brescia,Under 2.5,0.7912,1.66,0.4749,0.1888,3.0,False,1201.7287305692937,1201.7287305692937,1201.7287305692937
2019,2019-11-09,Inter,Verona,Under 2.5,0.6557,2.2,0.3687,0.2011,3.0,False,1105.5904321237501,1105.5904321237501,1105.5904321237501
2019,2019-11-10,Udinese,Spal,Under 2.5,0.7751,1.72,0.4629,0.1938,0.0,True,1169.2724410140781,1169.2724410140781,1169.2724410140781
2019,2019-11-24,Sampdoria,Udinese,Under 2.5,0.8442,1.61,0.5889,0.2231,3.0,False,1075.7306457329519,1075.7306457329519,1075.7306457329519
2019,2019-12-01,Verona,Roma,Under 2.5,0.7593,1.9,0.4918,0.233,4.0,False,989.6721940743157,989.6721940743157,989.6721940743157
2019,2019-12-08,Spal,Brescia,Under 2.5,0.8038,1.66,0.5066,0.2014,1.0,True,1041.9268859214396,1041.9268859214396,1041.9268859214396
2019,2019-12-14,Napoli,Parma,Under 2.5,0.5951,2.5,0.3252,0.1951,3.0,False,958.5727350477244,958.5727350477244,958.5727350477244
2019,2019-12-15,Roma,Spal,Under 2.5,0.745,2.3,0.5489,0.3103,4.0,False,881.8869162439065,881.8869162439065,881.8869162439065
2019,2019-12-21,Torino,Spal,Under 2.5,0.7594,1.8,0.4586,0.2038,3.0,False,811.3359629443939,811.3359629443939,811.3359629443939
2019,2020-01-06,Milan,Sampdoria,Under 2.5,0.6517,2.0,0.3034,0.1517,0.0,True,876.2428399799454,876.2428399799454,872.8757957337262
2019,2020-01-12,Fiorentina,Spal,Under 2.5,0.6717,2.0,0.3433,0.1717,1.0,True,946.342267178341,946.342267178341,942.7058593924244
2019,2020-07-19,Napoli,Udinese,Under 2.5,0.6447,2.1,0.3217,0.1685,3.0,False,870.6348858040737,870.6348858040737,867.2893906410304
2019,2020-07-26,Cagliari,Udinese,Under 2.5,0.6878,1.9,0.3409,0.1615,1.0,True,933.320597581967,933.320597581967,929.7342267671846
2020,2020-09-26,Cagliari,Lazio,Under 2.5,0.7285,2.2,0.5023,0.274,2.0,True,1022.9193749498359,1022.9193749498359,1018.9887125368343
2020,2020-10-04,Atalanta,Cagliari,Under 2.5,0.4861,3.2,0.2525,0.1736,7.0,False,941.0858249538489,941.0858249538489,954.6650500579467
2020,2020-11-29,Lazio,Udinese,Under 2.5,0.6521,2.1,0.3358,0.1759,4.0,False,865.798958957541,865.798958957541,878.291846053311
2020,2021-01-06,Cagliari,Benevento,Under 2.5,0.6493,2.1,0.3305,0.1731,3.0,False,796.5350422409377,796.5350422409377,808.0284983690461
2020,2021-01-09,Benevento,Atalanta,Under 2.5,0.6871,2.75,0.5083,0.3234,5.0,False,732.8122388616628,732.8122388616628,743.3862184995224
2020,2021-01-10,Fiorentina,Cagliari,Under 2.5,0.7168,2.1,0.4594,0.2407,1.0,True,797.2997158814891,797.2997158814891,808.8042057274804
