Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-31,Groningen,Heracles,Under 2.5,0.8346,2.0,0.6691,0.3346,3,False,920.0,920.0,920.0
2019,2019-09-15,Feyenoord,Den Haag,Under 2.5,0.4962,3.1,0.2564,0.1737,5,False,846.4,846.4,861.028
2019,2019-09-25,PSV Eindhoven,Groningen,Under 2.5,0.5314,2.87,0.2807,0.1829,4,False,778.688,778.688,800.6053601
2019,2019-10-19,AZ Alkmaar,Heerenveen,Under 2.5,0.6792,2.4,0.45,0.2625,6,False,716.39296,716.39296,736.556931292
2019,2019-11-23,Den Haag,Willem II,Under 2.5,0.7114,2.2,0.4708,0.2568,6,False,659.0815232,659.0815232,677.6323767886399
2019,2019-12-14,Den Haag,Groningen,Under 2.5,0.6769,1.95,0.3368,0.1641,2,True,709.1717189632,709.1717189632,729.1324374245766
2019,2019-12-22,Groningen,FC Emmen,Under 2.5,0.6576,2.07,0.3376,0.1745,2,True,769.8768181064498,769.8768181064498,791.5461740681203
2019,2020-02-08,Groningen,Vitesse,Under 2.5,0.7884,1.75,0.5063,0.217,1,True,816.0694271928369,816.0694271928369,839.0389445122075
2019,2020-02-11,FC Emmen,Twente,Under 2.5,0.6832,2.0,0.3664,0.1832,2,True,881.3549813682638,881.3549813682638,906.1620600731842
2019,2020-02-15,For Sittard,FC Emmen,Under 2.5,0.667,2.35,0.4204,0.2415,0,True,976.5413193560363,976.5413193560363,1004.0275625610881
2019,2020-02-16,Sparta Rotterdam,Groningen,Under 2.5,0.771,1.75,0.4656,0.1995,3,False,898.4180138075534,898.4180138075534,923.7053575562011
2019,2020-02-22,FC Emmen,Willem II,Under 2.5,0.7495,2.0,0.4989,0.2495,6,False,826.5445727029492,826.5445727029492,849.808928951705
2019,2020-02-22,Groningen,VVV Venlo,Under 2.5,0.8422,1.8,0.6448,0.2866,1,True,879.443425355938,879.443425355938,904.196700404614
2019,2020-02-28,Willem II,Groningen,Under 2.5,0.8204,1.6,0.521,0.1954,4,False,809.0879513274629,809.0879513274629,831.8609643722449
2019,2020-02-29,VVV Venlo,For Sittard,Under 2.5,0.6843,2.05,0.3836,0.1965,0,True,877.0513392389697,877.0513392389697,901.7372853795134
2019,2020-03-07,FC Emmen,VVV Venlo,Under 2.5,0.7006,2.0,0.4012,0.2006,3,False,806.8872320998521,806.8872320998521,829.5983025491523
2019,2020-03-08,Heracles,Waalwijk,Under 2.5,0.7445,2.6,0.5848,0.3599,6,False,742.3362535318639,742.3362535318639,763.2304383452201
2020,2020-09-12,Twente,For Sittard,Under 2.5,0.7396,2.1,0.5029,0.2634,2,True,807.661843842668,807.661843842668,830.3947169195995
2020,2020-09-13,Groningen,PSV Eindhoven,Under 2.5,0.7407,1.8,0.4166,0.1852,4,False,743.0488963352545,743.0488963352545,763.9631395660316
2020,2020-09-19,For Sittard,Heerenveen,Under 2.5,0.597,2.25,0.2747,0.1526,4,False,683.6049846284342,683.6049846284342,711.4979709563344
2020,2020-09-20,Willem II,Heracles,Under 2.5,0.6787,2.0,0.3574,0.1787,4,False,628.9165858581595,628.9165858581595,654.5781332798276
2020,2020-09-20,Ajax,Waalwijk,Under 2.5,0.3922,5.0,0.2403,0.1922,3,False,578.6032589895067,578.6032589895067,615.254351923042
2020,2020-09-25,Twente,Groningen,Under 2.5,0.7762,1.66,0.4372,0.1738,4,False,532.3149982703461,532.3149982703461,566.0340037691986
2020,2020-09-27,Heracles,PSV Eindhoven,Under 2.5,0.6274,2.35,0.3514,0.2019,2,True,589.8050180835435,589.8050180835435,627.1656761762721
2020,2020-10-04,PSV Eindhoven,For Sittard,Under 2.5,0.4995,2.87,0.2318,0.151,2,True,678.0398487888416,678.0398487888416,695.129425423628
