Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-25,Santa Clara,Belenenses,Under 2.5,0.9861,1.66,0.9651,0.3837,0.0,True,1052.8,1052.8,1052.8
2019,2019-08-25,Portimonense,Sp Lisbon,Under 2.5,0.7583,2.0,0.5167,0.2583,4.0,False,968.5759999999999,968.5759999999999,968.5759999999999
2019,2019-08-25,Guimaraes,Famalicao,Under 2.5,0.857,1.75,0.6663,0.2855,2.0,True,1026.69056,1026.69056,1026.69056
2019,2019-08-30,Belenenses,Boavista,Under 2.5,0.9534,1.53,0.8654,0.2998,1.0,True,1070.222239744,1070.222239744,1070.222239744
2019,2019-08-31,Gil Vicente,Setubal,Under 2.5,0.8434,1.6,0.5824,0.2184,0.0,True,1121.592907251712,1121.592907251712,1121.592907251712
2019,2019-09-01,Tondela,Santa Clara,Under 2.5,0.8581,1.61,0.6254,0.2369,0.0,True,1176.3266411255954,1176.3266411255954,1176.3266411255954
2019,2019-09-13,Setubal,Sp Braga,Under 2.5,0.8943,1.66,0.7341,0.2919,1.0,True,1238.436687777027,1238.436687777027,1238.436687777027
2019,2019-09-15,Maritimo,Belenenses,Under 2.5,0.9321,1.57,0.8129,0.2951,4.0,False,1139.3617527548647,1139.3617527548647,1139.3617527548647
2019,2019-09-15,Santa Clara,Moreirense,Under 2.5,0.9671,1.57,0.9093,0.3301,2.0,True,1191.3166486804867,1191.3166486804867,1191.3166486804867
2019,2019-09-22,Setubal,Portimonense,Under 2.5,0.9249,1.53,0.7831,0.2713,0.0,True,1241.8284745845392,1241.8284745845392,1241.8284745845392
2019,2019-09-28,Benfica,Setubal,Under 2.5,0.7606,2.35,0.5833,0.3351,1.0,True,1375.9459498396695,1375.9459498396695,1375.9459498396695
2019,2019-09-29,Santa Clara,Gil Vicente,Under 2.5,0.942,1.6,0.8453,0.317,1.0,True,1441.9913554319737,1441.9913554319737,1441.9913554319737
2019,2019-10-26,Gil Vicente,Portimonense,Under 2.5,0.8565,1.6,0.6173,0.2315,2.0,True,1511.2069404927086,1511.2069404927086,1511.2069404927086
2019,2019-10-26,Setubal,Maritimo,Under 2.5,0.8811,1.44,0.611,0.1867,0.0,True,1564.401424798052,1564.401424798052,1564.401424798052
2019,2019-10-28,Sp Braga,Santa Clara,Under 2.5,0.8078,2.2,0.6476,0.3532,2.0,True,1714.583961578665,1714.583961578665,1714.583961578665
2019,2019-10-31,Santa Clara,Setubal,Under 2.5,0.9917,1.47,0.9741,0.3115,2.0,True,1779.0523185340228,1779.0523185340228,1779.0523185340228
2019,2019-11-04,Portimonense,Santa Clara,Under 2.5,0.8491,1.57,0.5843,0.2121,2.0,True,1860.1771042591743,1860.1771042591743,1860.1771042591743
2019,2019-11-04,Setubal,Boavista,Under 2.5,0.9609,1.36,0.8524,0.2256,1.0,True,1913.7502048618385,1913.7502048618385,1913.7502048618385
2019,2019-11-09,Rio Ave,Setubal,Under 2.5,0.8688,1.7,0.6813,0.2806,1.0,True,2020.9202163341015,2020.9202163341015,2020.9202163341015
2019,2019-11-29,Santa Clara,Boavista,Under 2.5,0.9264,1.47,0.7697,0.2461,3.0,False,1859.2465990273733,1859.2465990273733,1859.2465990273733
2019,2019-12-01,Setubal,Guimaraes,Under 2.5,0.7985,1.61,0.4683,0.1774,2.0,True,1949.9778330599092,1949.9778330599092,1949.9778330599092
2019,2019-12-08,Pacos Ferreira,Setubal,Under 2.5,0.959,1.44,0.8658,0.2646,5.0,False,1793.9796064151165,1793.9796064151165,1793.9796064151165
2019,2019-12-13,Portimonense,Rio Ave,Under 2.5,0.7137,1.85,0.3768,0.1731,2.0,True,1915.9702196513445,1915.9702196513445,1915.9702196513445
2019,2020-01-10,Santa Clara,Rio Ave,Under 2.5,0.806,1.72,0.5365,0.2246,1.0,True,2026.3301043032618,2026.3301043032618,2026.3301043032618
2019,2020-01-11,Setubal,Sp Lisbon,Under 2.5,0.6748,2.07,0.3708,0.1917,4.0,False,1864.223695959001,1864.223695959001,1864.223695959001
2019,2020-01-19,Rio Ave,Boavista,Under 2.5,0.9046,1.66,0.7601,0.3022,2.0,True,1962.6547071056361,1962.6547071056361,1962.6547071056361
2019,2020-01-27,Guimaraes,Rio Ave,Under 2.5,0.7829,1.85,0.5276,0.2424,3.0,False,1805.6423305371852,1805.6423305371852,1805.6423305371852
2019,2020-02-16,Maritimo,Pacos Ferreira,Under 2.5,0.8553,1.5,0.566,0.1887,3.0,False,1661.1909440942104,1661.1909440942104,1661.1909440942104
2019,2020-03-07,Tondela,Boavista,Under 2.5,0.8521,1.5,0.5563,0.1854,2.0,True,1727.6385818579788,1727.6385818579788,1727.6385818579788
2019,2020-06-10,Portimonense,Benfica,Under 2.5,0.6494,2.1,0.3308,0.1733,4.0,False,1589.4274953093404,1589.4274953093404,1589.4274953093404
2019,2020-06-18,Sp Lisbon,Tondela,Under 2.5,0.7235,1.95,0.4325,0.2107,2.0,True,1710.2239849528503,1710.2239849528503,1710.2239849528503
2019,2020-07-05,Porto,Belenenses,Under 2.5,0.6463,2.2,0.3516,0.1918,5.0,False,1573.4060661566223,1573.4060661566223,1573.4060661566223
2019,2020-07-11,Belenenses,Moreirense,Under 2.5,0.7555,1.7,0.4062,0.1673,1.0,True,1661.516805861393,1661.516805861393,1661.516805861393
2019,2020-07-25,Maritimo,Famalicao,Under 2.5,0.7679,1.85,0.4949,0.2274,6.0,False,1528.5954613924816,1528.5954613924816,1528.5954613924816
2020,2020-10-04,Portimonense,Sp Lisbon,Under 2.5,0.7105,1.85,0.3699,0.17,2.0,True,1632.5399527671705,1632.5399527671705,1632.5399527671705
2020,2020-11-06,Belenenses,Rio Ave,Under 2.5,0.8722,1.57,0.6481,0.2353,0.0,True,1706.9837746133535,1706.9837746133535,1706.9837746133535
2020,2020-12-06,Belenenses,Sp Braga,Under 2.5,0.8641,1.9,0.7131,0.3378,3.0,False,1570.4250726442851,1570.4250726442851,1570.4250726442851
2020,2020-12-22,Sp Braga,Rio Ave,Under 2.5,0.7434,1.9,0.4582,0.2171,3.0,False,1444.7910668327422,1444.7910668327422,1444.7910668327422
2020,2021-01-04,Gil Vicente,Belenenses,Under 2.5,0.8695,1.5,0.6084,0.2028,0.0,True,1502.582709506052,1502.582709506052,1502.582709506052
2020,2021-01-10,Belenenses,Pacos Ferreira,Under 2.5,0.8807,1.47,0.6268,0.2004,2.0,True,1559.0798193834796,1559.0798193834796,1559.0798193834796
2020,2021-01-17,Nacional,Moreirense,Under 2.5,0.7922,1.6,0.446,0.1672,1.0,True,1633.9156507138866,1633.9156507138866,1633.9156507138866
2020,2021-01-18,Portimonense,Belenenses,Under 2.5,0.8841,1.5,0.6524,0.2175,1.0,True,1699.272276742442,1699.272276742442,1699.272276742442
2020,2021-01-25,Belenenses,Tondela,Under 2.5,0.8193,1.57,0.5024,0.1824,2.0,True,1776.7590925618974,1776.7590925618974,1776.7590925618974
2020,2021-02-14,Moreirense,Benfica,Under 2.5,0.6269,2.1,0.2878,0.1507,2.0,True,1933.1138927073443,1933.1138927073443,1917.3806909427087
2020,2021-02-20,Belenenses,Nacional,Under 2.5,0.8652,1.5,0.5956,0.1985,3.0,False,1778.4647812907567,1778.4647812907567,1763.990235667292
2020,2021-03-01,Benfica,Rio Ave,Under 2.5,0.6856,2.05,0.3861,0.1978,2.0,True,1927.8558229191804,1927.8558229191804,1912.1654154633445
2020,2021-03-08,Belenenses,Benfica,Under 2.5,0.8776,1.95,0.7488,0.3648,3.0,False,1773.6273570856458,1773.6273570856458,1759.192182226277
2020,2021-03-13,Benfica,Boavista,Under 2.5,0.6118,2.2,0.2884,0.1573,2.0,True,1943.8955833658679,1943.8955833658679,1911.3974898324946
2020,2021-04-10,Pacos Ferreira,Benfica,Under 2.5,0.7295,1.95,0.4447,0.2166,5.0,False,1788.3839366965985,1788.3839366965985,1758.485690645895
2020,2021-04-21,Sp Lisbon,Belenenses,Under 2.5,0.7472,1.72,0.396,0.1658,4.0,False,1645.3132217608706,1645.3132217608706,1617.8068353942233
2020,2021-05-05,Rio Ave,Sp Lisbon,Under 2.5,0.8091,1.65,0.5154,0.2031,2.0,True,1730.8695092924359,1730.8695092924359,1701.932790834723
2020,2021-05-06,Farense,Guimaraes,Under 2.5,0.8166,1.61,0.516,0.1955,4.0,False,1592.399948549041,1592.399948549041,1565.778167567945
2020,2021-05-19,Sp Lisbon,Maritimo,Under 2.5,0.729,2.2,0.5031,0.2744,6.0,False,1465.0079526651177,1465.0079526651177,1440.5159141625095
2020,2021-05-19,Nacional,Rio Ave,Under 2.5,0.7171,1.8,0.3634,0.1615,3.0,False,1347.8073164519083,1347.8073164519083,1325.2746410295088
2021,2021-08-07,Maritimo,Sp Braga,Under 2.5,0.8538,1.93,0.6966,0.3356,2.0,True,1448.0841807959303,1448.0841807959303,1423.8750743221042
2021,2021-08-23,Pacos Ferreira,Estoril,Under 2.5,0.8665,1.53,0.6146,0.2129,4.0,False,1332.2374463322558,1332.2374463322558,1309.965068376336
2021,2021-09-12,Boavista,Portimonense,Under 2.5,0.8001,1.6,0.467,0.1751,2.0,True,1396.1848437562041,1396.1848437562041,1372.8433916584002
2021,2021-10-24,Portimonense,Estoril,Under 2.5,0.8408,1.5,0.5225,0.1742,2.0,True,1452.0322375064522,1452.0322375064522,1427.757127324736
2021,2021-11-01,Sp Braga,Portimonense,Under 2.5,0.8425,1.9,0.6675,0.3162,3.0,False,1335.869658505936,1335.869658505936,1313.5365571387572
2021,2021-12-29,Sp Lisbon,Portimonense,Under 2.5,0.7063,2.0,0.4126,0.2063,5.0,False,1229.0000858254612,1229.0000858254612,1208.4536325676565
