Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-31,Las Palmas,Santander,Under 2.5,0.9188,1.57,0.7764,0.2819,4,False,920.0,920.0,920.0
2019,2019-09-01,Girona,Malaga,Under 2.5,0.898,1.5,0.6939,0.2313,1,True,956.8,956.8,956.8
2019,2019-09-01,Lugo,Alcorcon,Under 2.5,0.9278,1.53,0.7916,0.2742,6,False,880.256,880.256,880.256
2019,2019-09-07,Malaga,Almeria,Under 2.5,0.8688,1.5,0.6064,0.2021,1,True,915.46624,915.46624,915.46624
2019,2019-09-21,Albacete,Malaga,Under 2.5,0.8563,1.47,0.5505,0.176,1,True,949.8877706239999,949.8877706239999,949.8877706239999
2019,2019-09-22,Extremadura UD,Huesca,Under 2.5,0.8116,1.6,0.4976,0.1866,1,True,995.4823836139519,995.4823836139519,995.4823836139519
2019,2019-09-27,Las Palmas,Albacete,Under 2.5,0.8335,1.6,0.5559,0.2085,5,False,915.8437929248357,915.8437929248357,915.8437929248357
2019,2019-09-29,Malaga,Sp Gijon,Under 2.5,0.8814,1.44,0.6119,0.187,0,True,948.08149443579,948.08149443579,948.08149443579
2019,2019-10-06,Huesca,Malaga,Under 2.5,0.9011,1.5,0.7034,0.2345,2,True,986.0047542132215,986.0047542132215,986.0047542132215
2019,2019-10-13,Huesca,Santander,Under 2.5,0.7817,1.61,0.4238,0.1606,2,True,1034.1217862188269,1034.1217862188269,1034.1217862188269
2019,2019-10-27,Huesca,Elche,Under 2.5,0.8499,1.66,0.6225,0.2475,2,True,1088.7234165311809,1088.7234165311809,1088.7234165311809
2019,2020-03-01,Fuenlabrada,Alcorcon,Under 2.5,0.8901,1.36,0.585,0.1549,7,False,1001.6255432086864,1001.6255432086864,1001.6255432086864
2019,2020-03-08,Vallecano,Elche,Under 2.5,0.8354,1.66,0.5859,0.233,5,False,921.4954997519915,921.4954997519915,921.4954997519915
2019,2020-06-28,Malaga,Girona,Under 2.5,0.8445,1.5,0.5336,0.1779,2,True,958.3553197420712,958.3553197420712,958.3553197420712
2019,2020-07-05,Las Palmas,Ponferradina,Under 2.5,0.8341,1.53,0.5211,0.1805,3,False,881.6868941627055,881.6868941627055,881.6868941627055
2019,2020-07-06,Sp Gijon,Girona,Under 2.5,0.8474,1.53,0.5594,0.1938,0,True,919.0704184752042,919.0704184752042,919.0704184752042
2019,2020-07-08,Oviedo,Las Palmas,Under 2.5,0.874,1.44,0.5875,0.1795,3,False,845.5447849971879,845.5447849971879,845.5447849971879
2019,2020-07-09,Girona,Almeria,Under 2.5,0.8662,1.57,0.6316,0.2293,1,True,884.1016271930597,884.1016271930597,884.1016271930597
2019,2020-07-09,Albacete,Sp Gijon,Under 2.5,0.8805,1.44,0.609,0.1861,2,True,915.2220044702553,915.2220044702553,915.2220044702553
2019,2020-07-12,Lugo,Girona,Under 2.5,0.8638,1.57,0.6247,0.2268,4,False,842.0042441126349,842.0042441126349,842.0042441126349
2019,2020-07-13,Sp Gijon,Malaga,Under 2.5,0.9198,1.44,0.7376,0.2254,3,False,774.6439045836241,774.6439045836241,774.6439045836241
2019,2020-07-17,Girona,Cadiz,Under 2.5,0.8826,1.5,0.6477,0.2159,3,False,712.6723922169342,712.6723922169342,712.6723922169342
2020,2020-09-13,Tenerife,Malaga,Under 2.5,0.9041,1.57,0.7358,0.2671,2,True,745.1702533020264,745.1702533020264,745.1702533020264
2020,2020-09-20,Cartagena,Sp Gijon,Under 2.5,1.0,1.5,1.0,0.3333,1,True,774.9770634341074,774.9770634341074,774.9770634341074
2020,2020-09-20,Lugo,Leganes,Under 2.5,0.8836,1.47,0.6358,0.2033,3,False,712.9788983593788,712.9788983593788,712.9788983593788
2020,2020-09-26,Logrones,Castellon,Under 2.5,0.923,1.47,0.7591,0.2427,2,True,739.7869049376915,739.7869049376915,739.7869049376915
2020,2020-09-26,Malaga,Alcorcon,Under 2.5,0.8833,1.4,0.5915,0.169,1,True,763.4600858956976,763.4600858956976,763.4600858956976
2020,2020-09-26,Sp Gijon,Girona,Under 2.5,0.8629,1.44,0.5512,0.1684,2,True,790.3338809192262,790.3338809192262,790.3338809192262
2020,2020-09-27,Mallorca,Sabadell,Under 2.5,0.9863,1.6,0.9634,0.3613,1,True,828.269907203349,828.269907203349,828.269907203349
2020,2020-09-27,Leganes,Cartagena,Under 2.5,0.9793,1.44,0.9322,0.2848,4,False,762.0083146270811,762.0083146270811,762.0083146270811
2020,2020-10-03,Mallorca,Tenerife,Under 2.5,0.9548,1.5,0.8645,0.2882,2,True,792.4886472121643,792.4886472121643,792.4886472121643
2020,2020-10-10,Espanol,Alcorcon,Under 2.5,0.8322,1.65,0.5739,0.2261,1,True,833.6980568671969,833.6980568671969,833.6980568671969
2020,2020-10-10,Sabadell,Mirandes,Under 2.5,0.8253,1.5,0.4759,0.1586,2,True,867.0459791418848,867.0459791418848,867.0459791418848
2020,2020-10-11,Lugo,Mallorca,Under 2.5,0.8085,1.53,0.4472,0.1549,1,True,903.8087286575008,903.8087286575008,903.8087286575008
2020,2020-10-18,Mirandes,Mallorca,Under 2.5,0.9371,1.47,0.8032,0.2568,0,True,937.7919368550228,937.7919368550228,937.7919368550228
2020,2020-10-21,Espanol,Mirandes,Under 2.5,0.9221,1.65,0.8023,0.3161,2,True,986.5571175714839,986.5571175714839,986.5571175714839
