Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-24,Hannover,Greuther Furth,Over 2.5,0.7671,1.7,0.4343,0.1788,2,False,920.0,920.0,920.0
2019,2019-08-24,Bochum,Wehen,Over 2.5,0.7165,1.65,0.2804,0.1105,6,True,967.84,967.84,961.9198
2019,2019-08-25,Heidenheim,Sandhausen,Over 2.5,0.6455,1.72,0.1532,0.0641,2,False,890.4128000000001,893.7034560000001,925.07827166
2019,2019-08-31,Bielefeld,Greuther Furth,Over 2.5,0.7006,1.7,0.2729,0.1124,4,True,940.2759168,943.750849536,969.2576972188025
2019,2019-08-31,Wehen,Regensburg,Over 2.5,0.7562,1.57,0.3285,0.1193,5,True,983.15249860608,986.7858882748417,1013.4558482119799
2019,2019-09-01,Hamburg,Hannover,Over 2.5,0.762,1.7,0.4221,0.1738,3,True,1038.2090385280205,1042.0458980182327,1070.2093757118507
2019,2019-09-02,Stuttgart,Bochum,Over 2.5,0.7588,1.57,0.3355,0.1218,3,True,1085.5513706848983,1089.563190967864,1119.010923244311
2019,2019-09-13,Greuther Furth,Wehen,Over 2.5,0.7944,1.57,0.4338,0.1575,3,True,1135.0525131881298,1139.2472724759987,1170.0378213442516
2019,2019-09-14,Hannover,Bielefeld,Over 2.5,0.7324,1.66,0.3268,0.1299,2,False,1044.2483121330793,1048.1074906779188,1076.4347956367114
2019,2019-09-15,Erzgebirge Aue,Osnabruck,Over 2.5,0.631,1.85,0.1968,0.0904,1,False,960.7084471624329,964.2588914236853,1023.4742036913852
2019,2019-09-21,Wehen,Bielefeld,Over 2.5,0.756,1.5,0.2681,0.0894,7,True,999.1367850489302,1002.8292470806327,1057.773382942593
2019,2019-09-21,Nurnberg,Karlsruhe,Over 2.5,0.6929,1.75,0.2835,0.1215,2,False,919.2058422450158,922.6029073141822,982.8036944265366
2019,2019-09-21,Sandhausen,Bochum,Over 2.5,0.6741,1.75,0.2396,0.1027,2,False,845.6693748654145,848.7946747290476,923.933753130387
