Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-16,Chateauroux,Ajaccio,Over 2.5,0.619,2.6,0.3808,0.2344,1,False,920.0,920.0,920.0
2019,2019-08-16,Orleans,Clermont,Over 2.5,0.5095,2.35,0.1462,0.084,1,False,846.4,852.748,886.374
2019,2019-08-17,Lens,Le Havre,Over 2.5,0.5732,2.4,0.2683,0.1565,4,True,941.1967999999999,948.2557760000001,969.60895047
2019,2019-08-19,Auxerre,Guingamp,Over 2.5,0.4759,2.6,0.1484,0.0913,4,True,1061.6699904,1060.8327017267202,1027.164937769899
2019,2019-08-23,Clermont,Auxerre,Over 2.5,0.5478,2.35,0.2128,0.1223,2,False,976.736391168,975.9660855885826,972.5197630805404
2019,2019-08-24,Troyes,Lens,Over 2.5,0.5593,2.35,0.2329,0.1338,2,False,898.5974798745599,897.888798741496,915.894799875176
2019,2019-08-26,Guingamp,Valenciennes,Over 2.5,0.7597,2.1,0.5412,0.2835,1,False,826.7096814845951,826.0576948421763,842.6232158851619
2019,2019-08-30,Valenciennes,Clermont,Over 2.5,0.6263,2.1,0.2865,0.1501,1,False,760.5729069658274,759.9730792548022,782.2703280473872
2019,2019-09-13,Ajaccio,Orleans,Over 2.5,0.5514,2.35,0.219,0.1258,0,False,699.7270744085613,699.1752329144181,739.4410275867928
2019,2019-09-20,Valenciennes,Niort,Over 2.5,0.5937,2.05,0.2067,0.1059,2,False,643.7489084558764,643.2412142812647,701.2304124862452
2019,2019-09-20,Auxerre,Troyes,Over 2.5,0.5586,2.35,0.2317,0.1331,3,True,713.273790569111,712.7112654236413,756.065754204654
2019,2019-09-20,Paris FC,Clermont,Over 2.5,0.3776,3.4,0.1182,0.0835,2,False,656.2118873235821,670.5900296371041,733.7240111679065
2019,2019-09-27,Niort,Auxerre,Over 2.5,0.5628,2.35,0.2389,0.1372,4,True,727.082771154529,743.0137528379113,792.8832610333609
2019,2019-10-04,Guingamp,Rodez,Over 2.5,0.5579,2.1,0.1561,0.0817,5,True,791.0660550161276,806.8051985878102,826.9197572213704
2019,2019-10-04,Paris FC,Troyes,Over 2.5,0.4862,2.7,0.184,0.1158,1,False,727.7807706148374,742.2607827007854,788.8814483891874
2019,2019-10-05,Auxerre,Le Havre,Over 2.5,0.518,2.25,0.1323,0.0735,2,False,669.5583089656503,693.1602319251284,762.789194483715
2019,2019-10-18,Chateauroux,Paris FC,Over 2.5,0.5067,2.87,0.243,0.1583,1,False,615.9936442483983,637.7074133711182,716.4497509188294
2019,2019-10-18,Clermont,Rodez,Over 2.5,0.6118,2.3,0.3131,0.177,1,False,566.7141527085264,586.6908203014287,660.369646665658
2019,2019-10-18,Niort,Guingamp,Over 2.5,0.5392,2.3,0.1847,0.1044,0,False,521.3770204918443,539.7555546773144,629.8770782308712
2019,2019-10-21,Lens,Auxerre,Over 2.5,0.5213,2.35,0.1667,0.0958,0,False,479.6668588524967,496.57511030312924,603.6269509955997
2019,2019-10-25,Guingamp,Clermont,Over 2.5,0.5499,2.25,0.1899,0.1055,3,True,527.6335447377464,546.2326213334421,639.4484378687448
2019,2019-10-25,Orleans,Chateauroux,Over 2.5,0.5252,2.3,0.1601,0.0905,2,False,485.42286115872673,502.53401162676676,613.8545141430483
2019,2019-11-01,Chateauroux,Auxerre,Over 2.5,0.5011,2.5,0.1685,0.1011,1,False,446.5890322660286,462.3312906966254,587.9958927347724
2019,2019-11-02,Clermont,Le Mans,Over 2.5,0.6205,1.9,0.1989,0.0942,1,False,410.8619096847463,425.34478744089535,558.7577969685358
2019,2019-11-29,Le Mans,Chateauroux,Over 2.5,0.5793,2.07,0.1862,0.0962,3,True,446.03168915376057,461.75430124583596,586.588684698843
2019,2019-12-03,Paris FC,Guingamp,Over 2.5,0.4804,2.4,0.1093,0.0637,3,True,495.98723833898174,497.0831228341549,609.0286348319974
2019,2019-12-13,Nancy,Chateauroux,Over 2.5,0.4812,2.4,0.1107,0.0646,3,True,551.5378090329477,535.6020940225735,632.6254492885631
2019,2019-12-20,Chateauroux,Guingamp,Over 2.5,0.5955,2.07,0.2176,0.1125,6,True,598.749445486168,581.4496332709058,669.4493114407518
2019,2020-01-10,Rodez,Chateauroux,Over 2.5,0.608,2.25,0.2943,0.1635,3,True,658.6243900347848,639.5945965979963,731.0177278023184
2019,2020-01-24,Chateauroux,Niort,Over 2.5,0.5463,2.15,0.1519,0.0812,2,False,605.934438832002,591.0173869863785,703.2573295890254
2019,2020-01-31,Ajaccio,Chateauroux,Over 2.5,0.5808,2.3,0.2583,0.146,1,False,557.4596837254419,543.7359960274682,657.8444875308141
2019,2020-02-07,Troyes,Chateauroux,Over 2.5,0.5622,2.25,0.2119,0.1177,2,False,512.8629090274065,500.23711634527075,622.9951758038693
2019,2020-02-15,Lorient,Clermont,Over 2.5,0.5411,2.2,0.1587,0.0866,1,False,471.833876305214,460.5433011632735,598.2778422038508
2019,2020-02-28,Chateauroux,Le Havre,Over 2.5,0.496,2.35,0.1227,0.0705,3,True,522.7919349461771,498.6866487238687,623.053275496815
2020,2020-08-22,Ajaccio,Chateauroux,Over 2.5,0.5586,2.25,0.2054,0.1141,1,False,480.9685801504829,458.7917168259592,591.0594898000536
2020,2020-08-29,Chateauroux,Auxerre,Over 2.5,0.4856,2.35,0.1045,0.06,3,True,532.9131868067351,491.1537375515703,611.9054191809392
2020,2020-08-29,Pau FC,Rodez,Over 2.5,0.5498,2.4,0.2282,0.1331,2,False,490.2801318621963,451.86143854744466,576.9962150166666
2020,2020-09-12,Troyes,Pau FC,Over 2.5,0.5518,2.35,0.2198,0.1263,2,False,451.0577213132206,415.71252346364906,545.2902730015007
2020,2020-09-12,Valenciennes,Chateauroux,Over 2.5,0.5751,2.2,0.221,0.1205,1,False,414.97310360816294,382.45552158655715,515.1629854181679
2020,2020-09-19,Clermont,Toulouse,Over 2.5,0.4948,2.35,0.1206,0.0693,2,False,381.77525531950994,359.39345363488775,499.6308214078101
2020,2020-09-19,Pau FC,Guingamp,Over 2.5,0.5325,2.3,0.1729,0.0977,1,False,351.23323489394915,330.64197734409674,478.03427915245754
2020,2020-09-26,Toulouse,Auxerre,Over 2.5,0.4711,2.6,0.1405,0.0865,4,True,396.19108896037466,367.80613559757325,504.89980564082566
2020,2020-09-28,Troyes,Clermont,Over 2.5,0.4406,2.87,0.1415,0.0922,1,False,364.49580184354465,341.78385150404495,487.0389750162815
2020,2020-10-03,Chateauroux,Niort,Over 2.5,0.5116,2.3,0.1359,0.0768,2,False,335.3361376960611,318.5596387943451,470.49182584010333
2020,2020-10-03,Toulouse,Troyes,Over 2.5,0.5826,2.25,0.2487,0.1382,0,False,308.5092466803762,293.07486769079753,441.2389965684949
2020,2020-10-17,Le Havre,Chateauroux,Over 2.5,0.4887,2.35,0.1099,0.0631,2,False,283.82850694594606,276.9704037111882,429.1159551377755
2020,2020-10-17,Ajaccio,Toulouse,Over 2.5,0.522,2.4,0.1805,0.1053,1,False,261.1222263902704,254.81277141429317,409.75209766218336
2020,2020-10-17,Rodez,Troyes,Over 2.5,0.4828,2.4,0.1134,0.0662,1,False,240.23244827904875,240.36488727510275,398.13562569346044
2020,2020-10-24,Chateauroux,Paris FC,Over 2.5,0.5363,2.4,0.205,0.1196,3,True,267.1384824863022,267.2857546499142,426.7018568369662
2020,2020-11-07,Chateauroux,Pau FC,Over 2.5,0.5918,2.5,0.3197,0.1918,3,True,299.1951003846585,299.3600452079039,477.858075698508
2020,2020-11-21,Amiens,Clermont,Over 2.5,0.447,2.6,0.1013,0.0624,2,False,275.2594923538858,284.1974589181236,465.7563199314433
