Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-09-22,Atalanta,Fiorentina,Over 2.5,0.8587,1.57,0.6107,0.2217,4.0,True,1045.6,1045.6,1045.6
2019,2019-09-22,Lazio,Parma,Over 2.5,0.85,1.57,0.5869,0.2131,2.0,False,961.9519999999999,961.9519999999999,961.9519999999999
2019,2019-09-22,Bologna,Roma,Over 2.5,0.7072,1.61,0.2271,0.086,3.0,True,1008.8952575999999,1008.8952575999999,995.2670431279998
2019,2019-09-25,Parma,Sassuolo,Over 2.5,0.7656,1.8,0.4727,0.2101,1.0,False,928.183636992,928.183636992,915.6456796777599
2019,2019-09-25,Inter,Lazio,Over 2.5,0.7136,1.8,0.3557,0.1581,1.0,False,853.9289460326399,853.9289460326399,842.394025303539
2019,2019-09-25,Fiorentina,Sampdoria,Over 2.5,0.6908,1.66,0.2222,0.0883,3.0,True,899.0163943831633,899.0163943831633,873.2787174532426
2019,2019-09-25,Roma,Atalanta,Over 2.5,0.7609,1.44,0.2175,0.0665,2.0,False,827.0950828325102,827.0950828325102,825.7941871917226
2019,2019-09-28,Sampdoria,Inter,Over 2.5,0.6459,1.72,0.1542,0.0645,4.0,True,874.7357596036628,873.0087850707085,848.714930651416
2019,2019-10-06,Inter,Juventus,Over 2.5,0.5616,2.1,0.1631,0.0854,3.0,True,951.7125064487851,949.8335581569308,886.7819170784586
2019,2019-10-19,Lazio,Atalanta,Over 2.5,0.7075,1.57,0.1942,0.0705,6.0,True,995.1105967428497,993.1459684088869,911.3222764607293
2019,2019-10-30,Lazio,Torino,Over 2.5,0.7099,1.72,0.307,0.1285,4.0,True,1052.4289671152378,1050.3511761892387,961.6819454579493
2019,2019-11-02,Torino,Juventus,Over 2.5,0.6006,1.9,0.1568,0.0743,1.0,False,968.2346497460188,968.0036439760024,923.9840131959977
2019,2019-11-03,Genoa,Udinese,Over 2.5,0.6034,2.0,0.2068,0.1034,4.0,True,1045.6934217257003,1045.4439354940826,971.7539866782308
2019,2019-11-03,Lecce,Sassuolo,Over 2.5,0.6592,1.8,0.2332,0.1036,4.0,True,1112.6178007161452,1112.3523473657037,1017.0765926169036
2019,2019-11-03,Milan,Lazio,Over 2.5,0.6682,1.9,0.2996,0.1419,3.0,True,1192.7262823677077,1192.4417163760345,1085.637725725209
2019,2019-11-23,Atalanta,Juventus,Over 2.5,0.7064,1.8,0.3395,0.1509,4.0,True,1269.060764439241,1268.7579862241007,1155.1185401716225
2019,2019-11-24,Sassuolo,Lazio,Over 2.5,0.7423,1.53,0.2561,0.0887,3.0,True,1322.868940851465,1322.5533248400025,1194.3154663749012
2019,2019-12-07,Lazio,Juventus,Over 2.5,0.6973,1.8,0.319,0.1418,4.0,True,1407.5325530659586,1407.1967376297625,1270.51279312962
2019,2020-01-12,Torino,Bologna,Over 2.5,0.5958,1.9,0.1467,0.0695,1.0,False,1294.9299488206818,1303.9788569246195,1223.9167364415912
2019,2020-01-18,Sassuolo,Torino,Over 2.5,0.6315,1.9,0.222,0.1052,3.0,True,1388.1649051357708,1397.8653346231922,1285.0513774268486
2019,2020-02-09,Parma,Lazio,Over 2.5,0.6826,1.66,0.2017,0.0802,1.0,False,1277.1117127249092,1286.036107853337,1220.2526617200997
2019,2020-03-08,Juventus,Inter,Over 2.5,0.5809,2.0,0.1618,0.0809,2.0,False,1174.9427757069166,1183.15321922507,1170.8934415535216
2019,2020-06-28,Milan,Roma,Over 2.5,0.6261,1.8,0.1588,0.0706,2.0,False,1080.9473536503633,1089.2108536185995,1124.4089719238468
2019,2020-07-02,Roma,Udinese,Over 2.5,0.6252,1.9,0.2088,0.0989,2.0,False,994.4715653583343,1002.0739853291115,1065.714823589422
2019,2020-07-04,Lazio,Milan,Over 2.5,0.5921,2.0,0.1841,0.0921,3.0,True,1074.029290587001,1082.2399041554404,1114.7643483451252
2019,2020-07-05,Napoli,Roma,Over 2.5,0.6661,1.72,0.2025,0.0847,3.0,True,1135.8933777248124,1144.5769226347938,1155.3975088423051
2019,2020-07-08,Genoa,Napoli,Over 2.5,0.6189,1.8,0.1425,0.0633,3.0,True,1208.5905538992004,1209.817807224977,1188.3263378443107
2020,2020-09-26,Cagliari,Lazio,Over 2.5,0.667,1.66,0.1625,0.0646,2.0,False,1111.9033095872644,1113.032382646979,1140.0505803693857
2020,2020-09-27,Roma,Juventus,Over 2.5,0.6738,1.72,0.2208,0.0924,4.0,True,1175.9489402194909,1177.143047887445,1185.3607506355866
2020,2020-09-27,Crotone,Milan,Over 2.5,0.6866,1.66,0.2118,0.0842,2.0,False,1081.8730250019316,1082.9716040564495,1122.5958988894322
2020,2020-09-30,Udinese,Spezia,Over 2.5,0.6995,2.0,0.399,0.1995,2.0,False,995.3231830017771,996.3338757319335,1032.7882269782776
2020,2020-10-04,Benevento,Bologna,Over 2.5,0.8045,1.66,0.5082,0.2021,1.0,False,915.697328361635,916.6271656733788,950.1651688200154
2020,2020-10-18,Roma,Benevento,Over 2.5,0.7633,1.53,0.3166,0.1097,7.0,True,954.5228950841683,955.4921574979301,990.0241225694307
2020,2020-10-25,Benevento,Napoli,Over 2.5,0.7772,1.4,0.2201,0.0629,3.0,True,985.0676277268617,986.0679065378638,1011.8145535071839
2020,2020-10-25,Juventus,Verona,Over 2.5,0.6439,1.72,0.1494,0.0625,2.0,False,906.2622175087128,912.4086339194854,974.0232799336906
2020,2020-11-01,Torino,Lazio,Over 2.5,0.7097,1.61,0.2338,0.0886,7.0,True,950.487813723138,956.9341752547563,1008.7515929680864
2020,2020-11-08,Lazio,Juventus,Over 2.5,0.707,1.66,0.2631,0.1046,2.0,False,874.4487886252869,880.3794412343758,942.4009569406105
2020,2020-11-08,Bologna,Napoli,Over 2.5,0.7191,1.53,0.189,0.0655,1.0,False,804.4928855352639,809.9490859356257,897.8725117251666
2020,2020-11-29,Napoli,Roma,Over 2.5,0.7168,1.53,0.1823,0.0632,4.0,True,838.6033838819591,844.2909271792962,919.5603977777602
2020,2020-12-12,Lazio,Verona,Over 2.5,0.6884,1.61,0.1774,0.0672,3.0,True,879.5272290153987,885.4923244256458,944.4377249990408
2020,2020-12-16,Juventus,Atalanta,Over 2.5,0.6763,1.72,0.2266,0.0949,2.0,False,809.1650506941668,814.6529384715942,890.9353278778451
2020,2020-12-19,Fiorentina,Verona,Over 2.5,0.5982,1.9,0.1518,0.0719,2.0,False,744.4318466386335,752.8207804416002,857.1243321848809
2020,2020-12-20,Lazio,Napoli,Over 2.5,0.683,1.9,0.3309,0.1567,2.0,False,684.8772989075428,692.5951180062722,788.5543856100904
2020,2020-12-20,Torino,Bologna,Over 2.5,0.6831,1.66,0.2029,0.0807,2.0,False,630.0871149949394,637.1875085657704,748.5549644000185
2020,2020-12-23,Napoli,Torino,Over 2.5,0.7272,1.5,0.1815,0.0605,2.0,False,579.6801457953443,586.2125078805087,714.5892828903677
2020,2020-12-23,Sampdoria,Sassuolo,Over 2.5,0.6696,1.72,0.2108,0.0882,5.0,True,613.0697221931562,619.9783483344261,741.7036586403598
2020,2020-12-23,Bologna,Atalanta,Over 2.5,0.7486,1.53,0.2742,0.095,4.0,True,639.063878414146,646.2654303038057,768.650865114252
2020,2020-12-23,Milan,Lazio,Over 2.5,0.6816,1.72,0.2393,0.1002,5.0,True,675.8739578108008,683.4903190893049,801.7597324781833
2020,2021-01-03,Atalanta,Sassuolo,Over 2.5,0.7879,1.44,0.306,0.0935,6.0,True,699.6647211257409,707.5491783212484,828.746965073399
2020,2021-01-03,Genoa,Lazio,Over 2.5,0.6575,1.72,0.1819,0.0762,2.0,False,643.6915434356816,650.9452440555485,791.0596968366862
2020,2021-01-03,Cagliari,Napoli,Over 2.5,0.6985,1.57,0.1695,0.0615,5.0,True,673.0438778163488,680.6283471844815,810.1667549891553
2020,2021-01-03,Juventus,Udinese,Over 2.5,0.6439,1.72,0.1493,0.0625,5.0,True,711.8112051785704,717.210759588953,831.9391763627339
2020,2021-01-03,Fiorentina,Bologna,Over 2.5,0.6772,1.72,0.2288,0.0958,0.0,False,654.8663087642848,659.8338988218368,784.3522554747855
2020,2021-01-06,Atalanta,Parma,Over 2.5,0.7854,1.4,0.249,0.0712,3.0,True,675.8220306447419,680.9485835841356,803.8826266361076
2020,2021-01-06,Bologna,Udinese,Over 2.5,0.6237,1.9,0.2056,0.0974,4.0,True,724.4812168511633,729.9768816021933,841.0702369442939
2020,2021-01-06,Lazio,Fiorentina,Over 2.5,0.6504,1.9,0.262,0.1241,3.0,True,776.643864464447,782.5352170775512,890.6513274121601
2020,2021-01-06,Torino,Verona,Over 2.5,0.6098,2.0,0.2196,0.1098,2.0,False,714.5123553072913,719.9323997113471,841.7545695372324
2020,2021-01-06,Milan,Juventus,Over 2.5,0.7062,1.72,0.298,0.1248,4.0,True,755.6682669729912,761.4005059347207,886.9062846472095
2020,2021-01-06,Sassuolo,Genoa,Over 2.5,0.6671,1.8,0.2509,0.1115,3.0,True,804.0310360592626,810.1301383145428,931.4112420108065
2020,2021-01-09,Genoa,Bologna,Over 2.5,0.6315,1.9,0.222,0.1052,2.0,False,739.7085531745216,745.3197272493794,879.7179180792068
2020,2021-01-09,Milan,Torino,Over 2.5,0.6959,1.72,0.2734,0.1145,2.0,False,680.5318689205599,685.694149069429,819.589198378493
2020,2021-01-10,Udinese,Napoli,Over 2.5,0.6223,1.9,0.2026,0.096,3.0,True,729.5301634828402,735.064127802428,856.9501719865766
2020,2021-01-10,Parma,Lazio,Over 2.5,0.6728,1.8,0.2638,0.1172,2.0,False,671.1677504042129,676.2589975782337,800.4343081440619
2020,2021-01-10,Juventus,Sassuolo,Over 2.5,0.7601,1.44,0.2149,0.0657,4.0,True,694.7928552184412,700.0633142929875,819.3557747542794
2020,2021-01-15,Lazio,Roma,Over 2.5,0.7156,1.61,0.2495,0.0945,3.0,True,728.6987465531012,734.2264040304852,850.5312377889613
2020,2021-01-16,Bologna,Verona,Over 2.5,0.623,1.9,0.2041,0.0967,1.0,False,670.4028468288531,675.4882917080464,807.1328813807796
2020,2021-01-17,Napoli,Fiorentina,Over 2.5,0.6474,1.72,0.1576,0.066,6.0,True,709.018050806195,713.8127954263941,830.0296269597895
2020,2021-01-17,Inter,Juventus,Over 2.5,0.6827,1.66,0.202,0.0803,2.0,False,652.2966067416994,656.7077717922826,788.1131307983202
2020,2021-01-17,Sassuolo,Parma,Over 2.5,0.7021,1.57,0.1795,0.0652,2.0,False,600.1128782023635,604.1711500489,752.7465540537455
2020,2021-01-20,Udinese,Atalanta,Over 2.5,0.6884,1.72,0.2557,0.107,2.0,False,552.1038479461745,555.837458044988,704.6272305858598
2020,2021-01-23,Udinese,Inter,Over 2.5,0.6477,1.8,0.2073,0.0921,0.0,False,507.93554011048053,511.370461401389,668.1099243607476
2020,2021-01-23,Milan,Atalanta,Over 2.5,0.7115,1.61,0.2385,0.0904,3.0,True,532.722794467872,536.3253399177768,692.4099174471535
2020,2021-01-24,Verona,Napoli,Over 2.5,0.6374,1.8,0.1842,0.0818,4.0,True,566.8170533138158,570.6501616725145,717.9182988059066
2020,2021-01-24,Lazio,Sassuolo,Over 2.5,0.7537,1.61,0.35,0.1326,3.0,True,594.47772551553,598.4978895621332,752.9527117876348
2020,2021-01-24,Juventus,Bologna,Over 2.5,0.7577,1.57,0.3327,0.1208,2.0,False,546.9195074742876,550.6180583971625,692.7164948446241
2020,2021-01-29,Torino,Fiorentina,Over 2.5,0.5978,2.2,0.2626,0.1432,2.0,False,503.16594687634455,506.56861372538947,647.2396569580745
2020,2021-01-30,Bologna,Milan,Over 2.5,0.7209,1.72,0.3334,0.1395,3.0,True,532.148305416422,535.7469658759719,684.5206611988597
2020,2021-01-30,Sampdoria,Juventus,Over 2.5,0.7273,1.61,0.2803,0.1062,2.0,False,489.5764409831082,492.88720860589416,636.5528758653496
2020,2021-01-31,Atalanta,Lazio,Over 2.5,0.7361,1.5,0.2084,0.0695,4.0,True,509.1594986224326,512.6026969501299,653.135078281642
2020,2021-01-31,Cagliari,Sassuolo,Over 2.5,0.6935,1.61,0.1909,0.0723,2.0,False,468.426738732638,471.59448119411957,621.9642066706506
2020,2021-01-31,Napoli,Parma,Over 2.5,0.7431,1.53,0.2584,0.0895,2.0,False,430.95259963402697,433.86692269859,581.7853189197266
2020,2021-02-05,Fiorentina,Inter,Over 2.5,0.6072,1.9,0.1707,0.0808,2.0,False,396.4763916633048,399.1575688827028,556.9576304348273
2020,2021-02-06,Genoa,Napoli,Over 2.5,0.6761,1.72,0.2263,0.0947,3.0,True,419.31343182311116,422.14904485034646,579.6447425529595
2020,2021-02-06,Juventus,Roma,Over 2.5,0.7488,1.57,0.3081,0.1119,2.0,False,385.7683572772623,388.3771212623187,534.9976062578178
2020,2021-02-06,Atalanta,Torino,Over 2.5,0.7557,1.53,0.2947,0.1021,6.0,True,402.1249356258182,404.844311203841,555.8880590375715
2020,2021-02-07,Lazio,Cagliari,Over 2.5,0.7414,1.57,0.2876,0.1044,1.0,False,369.95494077575273,372.4567663075337,515.91970759277
2020,2021-02-07,Parma,Bologna,Over 2.5,0.696,2.0,0.392,0.196,3.0,True,399.551336037813,402.2533076121364,557.1932842001916
2020,2021-02-12,Bologna,Benevento,Over 2.5,0.6725,1.72,0.2178,0.0912,2.0,False,367.5872291547879,370.0730430031655,526.8541098754911
2020,2021-02-13,Napoli,Juventus,Over 2.5,0.7133,1.9,0.3948,0.187,1.0,False,338.1802508224049,340.46719956291224,484.7057810854518
2020,2021-02-13,Torino,Genoa,Over 2.5,0.6363,2.0,0.2725,0.1363,0.0,False,311.1258307566125,313.22982359787926,451.6851997490054
2020,2021-02-14,Roma,Udinese,Over 2.5,0.6774,1.72,0.2293,0.096,3.0,True,329.0466786081934,331.2718614371171,470.3280546834458
2020,2021-02-14,Cagliari,Atalanta,Over 2.5,0.749,1.5,0.2471,0.0824,1.0,False,302.72294431953793,304.7701125221477,441.27353910537596
2020,2021-02-14,Sampdoria,Fiorentina,Over 2.5,0.6091,1.9,0.1748,0.0828,3.0,True,324.51899631054465,326.71356062374235,458.6288273983904
2020,2021-02-14,Inter,Lazio,Over 2.5,0.6656,1.66,0.159,0.0632,4.0,True,341.6535993157414,343.8562211496701,470.66095468518716
2020,2021-02-19,Cagliari,Torino,Over 2.5,0.6325,2.1,0.2985,0.1564,1.0,False,314.3213113704821,316.3477234576965,435.53788094180504
2020,2021-02-20,Sassuolo,Bologna,Over 2.5,0.7601,1.61,0.3669,0.139,2.0,False,289.1756064608435,291.03990558108075,400.69485046646065
2020,2021-02-20,Lazio,Sampdoria,Over 2.5,0.7098,1.66,0.27,0.1074,1.0,False,266.041557943976,267.7567131345943,373.64794805997457
2020,2021-02-21,Milan,Inter,Over 2.5,0.658,1.72,0.1829,0.0766,3.0,True,281.365551681549,283.1794998111469,385.94918580600506
2020,2021-02-21,Atalanta,Napoli,Over 2.5,0.7005,1.66,0.2467,0.0981,6.0,True,296.2216528103348,298.1313774011755,401.6594403888314
2020,2021-02-27,Bologna,Lazio,Over 2.5,0.7548,1.72,0.4142,0.1734,2.0,False,272.523920585508,274.28086720908146,369.5266851577249
2020,2021-02-28,Roma,Milan,Over 2.5,0.7058,1.61,0.2235,0.0847,3.0,True,285.8230879100808,287.66577352888464,382.1215403129695
2020,2021-02-28,Udinese,Fiorentina,Over 2.5,0.5232,2.2,0.1258,0.0686,1.0,False,262.95724087727433,269.5715963739178,370.1038178701266
2020,2021-03-03,Milan,Udinese,Over 2.5,0.6515,1.8,0.2159,0.0959,2.0,False,241.92066160709237,248.0058686640044,350.1274643005865
