Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-08-25,Utrecht,VVV Venlo,Over 2.5,0.8665,1.44,0.563,0.172,3,True,1035.2,1035.2,1035.2
2019,2019-09-01,Willem II,Feyenoord,Over 2.5,0.7262,1.57,0.2457,0.0892,1,False,952.384,952.384,971.61284
2019,2019-09-14,Utrecht,FC Emmen,Over 2.5,0.7935,1.47,0.3542,0.1132,4,True,988.1936384,988.1936384,1008.145482784
2019,2019-09-15,Zwolle,Waalwijk,Over 2.5,0.7967,1.44,0.3345,0.1022,8,True,1022.97805447168,1022.97805447168,1043.632203777997
2019,2019-09-21,Vitesse,For Sittard,Over 2.5,0.8313,1.36,0.3626,0.096,6,True,1052.4398224404645,1052.4398224404645,1073.6888112468032
2019,2019-09-22,Heerenveen,Utrecht,Over 2.5,0.7455,1.5,0.2366,0.0789,2,False,968.2446366452273,968.2446366452273,1010.1801180615548
2019,2019-09-22,FC Emmen,Feyenoord,Over 2.5,0.7597,1.47,0.2484,0.0794,6,True,1004.6506349830878,1004.6506349830878,1039.6642451674174
2019,2019-09-28,For Sittard,Sparta Rotterdam,Over 2.5,0.853,1.5,0.559,0.1863,0,False,924.2785841844408,924.2785841844408,956.491105554024
2019,2019-09-29,Waalwijk,Vitesse,Over 2.5,0.7779,1.47,0.3052,0.0976,3,True,959.0314589497757,959.0314589497757,990.7918330902969
2019,2019-09-29,Zwolle,PSV Eindhoven,Over 2.5,0.7801,1.44,0.2802,0.0856,4,True,992.7893663048078,992.7893663048078,1021.330018969806
2019,2019-10-05,Heerenveen,Zwolle,Over 2.5,0.8516,1.5,0.5547,0.1849,1,False,913.3662170004231,913.3662170004231,939.6236174522215
2019,2019-10-06,For Sittard,Feyenoord,Over 2.5,0.8202,1.36,0.3207,0.0849,6,True,939.6711640500354,939.6711640500354,966.6847776348455
2019,2019-11-01,Zwolle,Ajax,Over 2.5,0.9092,1.2,0.4551,0.0759,6,True,954.7059026748359,954.7059026748359,982.1517340770031
2019,2019-11-23,Zwolle,For Sittard,Over 2.5,0.807,1.4,0.3246,0.0927,4,True,985.2564915604306,985.2564915604306,1013.5805895674672
2019,2019-11-30,Heracles,Den Haag,Over 2.5,0.747,1.47,0.2087,0.0667,4,True,1022.3021356431028,1022.3021356431028,1038.4358661799881
2019,2019-12-07,Zwolle,AZ Alkmaar,Over 2.5,0.7809,1.5,0.3428,0.1143,3,True,1063.194221068827,1063.194221068827,1079.9733008271876
2019,2019-12-08,Vitesse,Feyenoord,Over 2.5,0.7556,1.5,0.2669,0.089,0,False,978.1386833833208,978.1386833833208,1007.9120823294935
2019,2019-12-13,Heerenveen,Willem II,Over 2.5,0.708,1.57,0.1958,0.0711,3,True,1022.7418073456003,1022.7418073456003,1036.03434129461
2019,2019-12-21,PSV Eindhoven,Zwolle,Over 2.5,0.8407,1.36,0.3981,0.1054,5,True,1052.1967713971535,1052.1967713971535,1065.8721303238947
2019,2020-01-26,Willem II,Zwolle,Over 2.5,0.7598,1.53,0.3065,0.1062,0,False,968.0210296853812,968.0210296853812,984.1996783378263
2019,2020-02-08,Waalwijk,Zwolle,Over 2.5,0.7289,1.6,0.277,0.1039,0,False,890.5793473105507,890.5793473105507,916.0438506129318
2019,2020-02-16,Zwolle,Feyenoord,Over 2.5,0.7569,1.47,0.2398,0.0767,7,True,924.0651307694275,924.0651307694275,941.8547601697271
2020,2020-09-12,Heerenveen,Willem II,Over 2.5,0.6704,1.65,0.1632,0.0643,2,False,850.1399203078732,850.1399203078732,903.4270859548022
2020,2020-09-12,Zwolle,Feyenoord,Over 2.5,0.7368,1.57,0.2749,0.0998,2,False,782.1287266832434,782.1287266832434,841.3390594725585
2020,2020-09-19,AZ Alkmaar,Zwolle,Over 2.5,0.7401,1.5,0.2203,0.0734,2,False,719.558428548584,719.558428548584,795.0023107721073
2020,2020-10-24,Zwolle,Willem II,Over 2.5,0.6481,1.72,0.1594,0.0667,0,False,661.9937542646973,662.2096217932618,763.3214686878389
2020,2020-10-31,Twente,Zwolle,Over 2.5,0.6555,1.7,0.1634,0.0673,6,True,699.0654045035203,699.2933606136845,785.1486460849676
2020,2020-11-06,For Sittard,Zwolle,Over 2.5,0.6957,1.6,0.1887,0.0707,4,True,732.6205439196893,732.8594419231414,807.3722785124027
2020,2020-12-05,Zwolle,Vitesse,Over 2.5,0.6532,1.7,0.1579,0.065,3,True,773.647294379192,773.3609189810238,829.6819929983966
2020,2020-12-05,Ajax,Twente,Over 2.5,0.8361,1.3,0.2899,0.0669,3,True,792.2148294442926,791.9215810365683,847.7213537311642
2020,2020-12-20,Vitesse,Feyenoord,Over 2.5,0.6793,1.66,0.1935,0.0769,1,False,728.8376430887492,728.5678545536429,806.7128332444191
2020,2020-12-23,Feyenoord,Heerenveen,Over 2.5,0.7468,1.47,0.208,0.0665,3,True,756.2419384688862,755.9620058848599,826.4288948889127
2020,2021-01-10,Heerenveen,For Sittard,Over 2.5,0.7182,1.53,0.1864,0.0646,4,True,788.306596659967,788.014794934378,846.840035734879
2020,2021-01-10,Ajax,PSV Eindhoven,Over 2.5,0.7415,1.47,0.1916,0.0613,4,True,817.9469246943818,817.6441512239105,865.9049454593784
2020,2021-01-13,Feyenoord,Zwolle,Over 2.5,0.7679,1.61,0.3873,0.1467,1,False,752.5111707188312,752.2326191259976,796.6325498226281
