Season,Date,HomeTeam,AwayTeam,Bet_On,Model_Prob,B365_Odds,Kelly_Fraction,Edge,Actual_Goals,Won,Bankroll_Full,Bankroll_Half,Bankroll_Quarter
2019,2019-09-01,Tondela,Santa Clara,Over 2.5,0.5103,2.25,0.1186,0.0659,0.0,False,920.0,940.7,970.35
2019,2019-09-13,Setubal,Sp Braga,Over 2.5,0.5955,2.15,0.2438,0.1304,1.0,False,846.4,865.4440000000001,911.2071675
2019,2019-09-22,Setubal,Portimonense,Over 2.5,0.4858,2.4,0.1186,0.0692,0.0,False,778.688,814.1231708,884.1898749836249
2019,2019-09-22,Tondela,Guimaraes,Over 2.5,0.6509,1.95,0.2834,0.138,4.0,True,837.868288,875.9965317808001,943.7024849940852
2019,2019-09-23,Sp Braga,Maritimo,Over 2.5,0.7043,1.8,0.3346,0.1487,4.0,True,891.491858432,932.0603098147712,1004.0994440337067
2019,2019-09-28,Famalicao,Belenenses,Over 2.5,0.6027,2.07,0.2315,0.1197,4.0,True,967.8035615137792,1011.8446723349157,1066.2795572297991
2019,2019-09-29,Portimonense,Sp Braga,Over 2.5,0.6123,1.9,0.1816,0.086,1.0,False,890.3792765926769,930.8970985481225,1017.8704653315663
2019,2019-10-30,Maritimo,Porto,Over 2.5,0.6404,1.8,0.1909,0.0848,2.0,False,819.1489344652628,856.4253306642727,969.2925973736172
2019,2019-10-31,Boavista,Sp Braga,Over 2.5,0.5641,2.15,0.1851,0.099,2.0,False,753.6170197080418,787.9113042111309,924.4385824301531
2019,2019-10-31,Santa Clara,Setubal,Over 2.5,0.4676,2.6,0.1348,0.083,2.0,False,693.3276581313984,734.8060823073007,893.2850022022569
2019,2019-11-03,Sp Braga,Famalicao,Over 2.5,0.7577,1.61,0.3605,0.1366,4.0,True,727.1620478482106,770.664619123897,936.877310309727
2019,2019-11-04,Portimonense,Santa Clara,Over 2.5,0.5491,2.35,0.2152,0.1236,2.0,False,668.9890840203537,709.0114495939852,886.4733110150637
2019,2019-12-16,Santa Clara,Sp Lisbon,Over 2.5,0.5661,2.07,0.1607,0.0831,4.0,True,726.254549612496,769.7028296792303,924.580360853996
2019,2020-01-05,Famalicao,Setubal,Over 2.5,0.6208,2.0,0.2417,0.1208,3.0,True,784.3549135814957,831.2790560535686,980.4481291585987
2019,2020-01-12,Gil Vicente,Belenenses,Over 2.5,0.5997,2.25,0.2795,0.1553,2.0,False,721.606520494976,764.7767315692831,911.9393161336416
2019,2020-01-19,Famalicao,Maritimo,Over 2.5,0.6383,1.8,0.1862,0.0827,2.0,False,663.877998855378,703.5945930437405,869.4885409676206
2019,2020-01-26,Famalicao,Santa Clara,Over 2.5,0.7038,1.8,0.3337,0.1483,1.0,False,610.7677589469478,647.3070256002412,799.9294576902109
2019,2020-03-03,Famalicao,Sp Lisbon,Over 2.5,0.6725,1.75,0.2359,0.1011,4.0,True,647.4138244837646,686.1454471362557,835.3113375156711
2019,2020-06-13,Sp Braga,Boavista,Over 2.5,0.5903,1.95,0.1591,0.0775,1.0,False,595.6207185250635,631.5625768165665,802.0868290659853
2019,2020-06-19,Famalicao,Sp Braga,Over 2.5,0.6751,1.8,0.2689,0.1195,0.0,False,547.9710610430584,581.0375706712413,748.1665419820245
2019,2020-06-28,Boavista,Santa Clara,Over 2.5,0.4517,2.7,0.1291,0.0813,1.0,False,504.1333761596137,543.5315954844126,724.0194668395546
2019,2020-07-18,Famalicao,Boavista,Over 2.5,0.5585,2.1,0.1571,0.0823,4.0,True,548.4971132616597,590.4954429922433,755.2989178556905
2020,2020-09-27,Farense,Nacional,Over 2.5,0.6439,2.2,0.3471,0.1893,1.0,False,504.6173442007269,543.2558075528639,694.8750044272354
2020,2020-10-04,Nacional,Belenenses,Over 2.5,0.5782,2.4,0.277,0.1616,0.0,False,464.2479566646688,499.79534294863475,646.7549103706493
2020,2020-10-18,Farense,Famalicao,Over 2.5,0.7431,2.05,0.4984,0.2553,6.0,True,503.24478502450097,541.7781517563201,701.0823228417838
2020,2020-10-25,Famalicao,Boavista,Over 2.5,0.569,2.1,0.1771,0.0928,4.0,True,547.5303261066571,589.4546291108762,735.2267846699858
2020,2020-10-25,Farense,Rio Ave,Over 2.5,0.6,2.1,0.2364,0.1238,1.0,False,503.7279000181245,542.2982587820061,691.7748816959896
2020,2020-10-25,Moreirense,Maritimo,Over 2.5,0.5298,2.2,0.1379,0.0752,3.0,True,552.0857784198645,587.1680167136293,720.3936085517527
2020,2020-11-07,Famalicao,Maritimo,Over 2.5,0.6103,2.05,0.2392,0.1225,3.0,True,598.4609838071331,636.4901301175742,765.6271232327172
2020,2020-11-08,Farense,Boavista,Over 2.5,0.5153,2.25,0.1275,0.0708,4.0,True,658.3070821878464,687.2104373613183,796.1325789240208
2020,2020-11-27,Pacos Ferreira,Famalicao,Over 2.5,0.5543,2.2,0.1829,0.0998,2.0,False,605.6425156128187,632.2336023724129,759.7294167527199
2020,2020-11-29,Sp Braga,Farense,Over 2.5,0.6708,1.72,0.2136,0.0894,1.0,False,557.1911143637932,581.6549141826198,719.1598658981246
2020,2020-12-27,Famalicao,Gil Vicente,Over 2.5,0.5597,2.15,0.1768,0.0945,1.0,False,512.6158252146897,535.1225210480102,687.3729998254275
2020,2021-01-03,Tondela,Famalicao,Over 2.5,0.5378,2.25,0.168,0.0933,1.0,False,471.60655919751457,492.31271936416937,658.5033338327596
2020,2021-01-17,Santa Clara,Famalicao,Over 2.5,0.5167,2.35,0.1587,0.0912,3.0,True,522.5400675908461,545.0504886442576,693.7735955220095
2020,2021-01-24,Famalicao,Guimaraes,Over 2.5,0.5398,2.1,0.1214,0.0636,1.0,False,480.7368621835784,511.9659239835512,672.7175668979165
2020,2021-01-30,Nacional,Famalicao,Over 2.5,0.5242,2.3,0.1582,0.0894,3.0,True,530.7334958506706,564.6113799467797,707.3053405999729
2020,2021-02-04,Famalicao,Moreirense,Over 2.5,0.5794,2.05,0.1789,0.0916,2.0,False,488.2748161826169,519.4424695510373,675.6711092416391
2020,2021-02-09,Boavista,Nacional,Over 2.5,0.5457,2.3,0.1962,0.1109,1.0,False,449.21283088800755,477.88707198695437,642.5294413333366
2020,2021-02-12,Famalicao,Belenenses,Over 2.5,0.5219,2.6,0.2231,0.1373,0.0,False,413.27580441696693,439.656106227998,606.6923617429698
2020,2021-02-19,Boavista,Moreirense,Over 2.5,0.4807,2.4,0.1098,0.0641,1.0,False,380.2137400636096,415.5189859960809,590.0386564131252
2020,2021-02-21,Rio Ave,Famalicao,Over 2.5,0.5255,2.25,0.1459,0.081,1.0,False,349.7966408585208,385.2068759676668,568.5169964204564
2020,2021-03-06,Boavista,Famalicao,Over 2.5,0.5508,2.25,0.1914,0.1063,3.0,True,384.7763049443729,423.72756356443347,602.521419268855
2020,2021-03-21,Maritimo,Famalicao,Over 2.5,0.5299,2.25,0.1538,0.0854,4.0,True,423.2539354388102,464.45837561206463,631.4801049824644
2020,2021-04-11,Sp Braga,Belenenses,Over 2.5,0.5788,1.95,0.1354,0.066,2.0,False,389.39362060370536,433.0145435831279,610.1045034288079
2020,2021-04-18,Famalicao,Portimonense,Over 2.5,0.5109,2.3,0.1347,0.0761,1.0,False,358.2421309554089,403.8510140728042,589.5592342758428
2020,2021-04-22,Gil Vicente,Famalicao,Over 2.5,0.4974,2.4,0.1384,0.0807,3.0,True,398.3652496224147,442.9761003161775,618.1174835841646
2020,2021-04-26,Famalicao,Tondela,Over 2.5,0.5505,2.15,0.1596,0.0854,4.0,True,435.01485258767684,483.6280170421931,646.4798043184239
2020,2021-05-12,Guimaraes,Famalicao,Over 2.5,0.5379,2.15,0.136,0.0728,3.0,True,475.0362190257431,521.4477279748926,671.7571646672743
2021,2021-08-13,Estoril,Guimaraes,Over 2.5,0.5772,2.15,0.2095,0.1121,0.0,False,437.0333215036836,479.7319097369012,636.5738831678258
2021,2021-08-14,Benfica,Arouca,Over 2.5,0.7175,1.6,0.2466,0.0925,2.0,False,402.07065578338893,441.3533569579491,597.3291032705293
2021,2021-09-25,Tondela,Famalicao,Over 2.5,0.5481,2.05,0.1178,0.0603,5.0,True,435.8445908691936,468.6488553190134,615.8000124664122
2021,2021-11-05,Gil Vicente,Arouca,Over 2.5,0.5456,2.15,0.1504,0.0805,2.0,False,400.97702359965814,433.4064613990236,592.6459319976751
2022,2022-08-20,Chaves,Vizela,Over 2.5,0.591,2.15,0.2353,0.1259,2.0,False,368.89886171168547,398.7339444871017,557.7835350479119
2022,2022-09-05,Chaves,Rio Ave,Over 2.5,0.5717,2.25,0.229,0.1272,2.0,False,339.3869527747506,366.8352289281336,525.8504276664189
2022,2022-09-16,Portimonense,Chaves,Over 2.5,0.5615,2.2,0.1961,0.1069,1.0,False,312.2359965527706,337.4884106138829,500.0706104500727
2023,2023-09-03,Chaves,Moreirense,Over 2.5,0.5432,2.1,0.128,0.0671,3.0,True,339.7127642494144,361.24759472110026,517.6730959379153
2023,2023-10-07,Chaves,Gil Vicente,Over 2.5,0.5978,1.9,0.1509,0.0715,6.0,True,364.17208327537224,385.77811264063655,535.2493917277474
2023,2023-12-01,Chaves,Vizela,Over 2.5,0.5778,2.03,0.1679,0.0852,3.0,True,394.1798629372629,417.56622912222497,558.3904977420527
2023,2024-01-07,Famalicao,Chaves,Over 2.5,0.62,2.03,0.2511,0.1274,4.0,True,426.6602836432934,451.9736864018963,594.4950501426828
2023,2024-03-01,Chaves,Arouca,Over 2.5,0.5707,2.05,0.1618,0.0829,6.0,True,462.49974746933003,489.9394760596556,619.7447411598679
2023,2024-03-11,Gil Vicente,Chaves,Over 2.5,0.5895,2.0,0.1791,0.0895,0.0,False,425.4997676717836,450.74431797488313,591.9956703744348
2023,2024-03-29,Gil Vicente,Famalicao,Over 2.5,0.5057,2.4,0.1526,0.089,3.0,True,473.1557416510234,498.8928260209602,623.6141591291333
2023,2024-05-10,Chaves,Famalicao,Over 2.5,0.5618,2.05,0.1444,0.074,1.0,False,435.3032823189415,462.87276398224685,601.1016879845716
2024,2024-09-14,Famalicao,Gil Vicente,Over 2.5,0.5295,2.15,0.1204,0.0644,2.0,False,400.4790197334262,435.0078235905156,583.008527176236
2024,2024-09-21,Moreirense,Famalicao,Over 2.5,0.4934,2.35,0.1181,0.0678,0.0,False,368.4406981547521,409.32061160749566,565.7952004113577
2024,2024-09-22,Gil Vicente,Casa Pia,Over 2.5,0.5256,2.35,0.1741,0.1,2.0,False,338.96544230237197,376.574962678896,541.1689643134533
2024,2024-10-04,Rio Ave,Famalicao,Over 2.5,0.4764,2.6,0.1491,0.0917,2.0,False,311.8482069181822,348.5012992111843,520.9968911686693
2024,2024-10-25,Santa Clara,Gil Vicente,Over 2.5,0.4893,2.88,0.2176,0.142,3.0,True,358.7501772386768,400.9158946125464,574.2802852222715
2024,2024-11-08,Moreirense,Gil Vicente,Over 2.5,0.4752,2.5,0.1254,0.0752,5.0,True,401.80019850731804,438.62203450085644,601.2858156348487
2024,2024-11-09,Famalicao,Arouca,Over 2.5,0.5249,2.3,0.1595,0.0901,0.0,False,369.65618262673263,403.64192724941313,577.3095437364092
2024,2024-12-01,Estoril,Famalicao,Over 2.5,0.5191,2.35,0.1629,0.0936,3.0,True,409.5790503504198,447.23525539234976,609.0493008141073
2024,2024-12-07,Gil Vicente,Nacional,Over 2.5,0.5431,2.08,0.1201,0.0624,3.0,True,444.96668030069605,476.2402506455652,628.7989424916063
2024,2024-12-14,Farense,Gil Vicente,Over 2.5,0.5464,2.35,0.2104,0.1209,1.0,False,409.36934587664035,438.14103059392,595.7241181165479
