tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2020-01-06,Atp Cup,A,Hard,3,Novak Djokovic,Rafael Nadal,6-2 7-6(4),64.0,49.0,41.0,9.0,70.0,51.0,39.0,6.0
2020-01-06,Atp Cup,A,Hard,3,Roberto Bautista Agut,Dusan Lajovic,7-5 6-1,59.0,44.0,29.0,10.0,57.0,35.0,21.0,6.0
2020-01-06,Atp Cup,A,Hard,3,Novak Djokovic,Daniil Medvedev,6-1 5-7 6-4,111.0,75.0,53.0,16.0,108.0,57.0,35.0,25.0
2020-01-06,Atp Cup,A,Hard,3,Dusan Lajovic,Karen Khachanov,7-5 7-6(1),67.0,48.0,38.0,14.0,79.0,54.0,39.0,14.0
2020-01-06,Atp Cup,A,Hard,3,Rafael Nadal,Alex De Minaur,4-6 7-5 6-1,84.0,61.0,48.0,10.0,75.0,55.0,37.0,10.0
2020-01-06,Atp Cup,A,Hard,3,Roberto Bautista Agut,Nick Kyrgios,6-1 6-4,57.0,44.0,35.0,7.0,55.0,38.0,22.0,8.0
2020-01-06,Atp Cup,A,Hard,3,Novak Djokovic,Denis Shapovalov,4-6 6-1 7-6(4),106.0,64.0,46.0,24.0,85.0,44.0,36.0,19.0
2020-01-06,Atp Cup,A,Hard,3,Dusan Lajovic,Felix Auger Aliassime,6-4 6-2,62.0,47.0,35.0,8.0,68.0,45.0,31.0,7.0
2020-01-06,Atp Cup,A,Hard,3,Daniil Medvedev,Diego Schwartzman,6-4 4-6 6-3,103.0,68.0,53.0,13.0,82.0,56.0,36.0,16.0
2020-01-06,Atp Cup,A,Hard,3,Karen Khachanov,Guido Pella,6-2 7-6(4),63.0,46.0,39.0,7.0,65.0,36.0,24.0,14.0
2020-01-06,Atp Cup,A,Hard,3,Daniel Evans,Alex De Minaur,7-6(4) 4-6 7-6(2),133.0,88.0,57.0,26.0,118.0,78.0,55.0,21.0
2020-01-06,Atp Cup,A,Hard,3,Nick Kyrgios,Cameron Norrie,6-2 6-2,55.0,36.0,26.0,11.0,47.0,28.0,16.0,5.0
2020-01-06,Atp Cup,A,Hard,3,David Goffin,Rafael Nadal,6-4 7-6(3),82.0,49.0,37.0,14.0,82.0,51.0,34.0,15.0
2020-01-06,Atp Cup,A,Hard,3,Roberto Bautista Agut,Kimmer Coppejans,6-1 6-4,57.0,41.0,29.0,9.0,55.0,40.0,23.0,5.0
2020-01-06,Atp Cup,A,Hard,3,Novak Djokovic,Gael Monfils,6-3 6-2,70.0,36.0,26.0,20.0,55.0,38.0,26.0,5.0
2020-01-06,Atp Cup,A,Hard,3,Benoit Paire,Dusan Lajovic,6-2 6-7(6) 6-4,87.0,49.0,41.0,18.0,100.0,72.0,44.0,18.0
2020-01-06,Atp Cup,A,Hard,3,Novak Djokovic,Kevin Anderson,7-6(5) 7-6(6),74.0,55.0,43.0,13.0,105.0,71.0,52.0,13.0
2020-01-06,Atp Cup,A,Hard,3,Dusan Lajovic,Lloyd Harris,3-6 7-6(4) 6-3,87.0,60.0,44.0,17.0,96.0,63.0,46.0,13.0
2020-01-06,Atp Cup,A,Hard,3,Novak Djokovic,Cristian Garin,6-3 6-3,53.0,30.0,26.0,11.0,48.0,25.0,17.0,11.0
2020-01-06,Atp Cup,A,Hard,3,Dusan Lajovic,Nicolas Jarry,6-2 7-6(3),64.0,43.0,33.0,11.0,72.0,45.0,30.0,12.0
2020-01-06,Atp Cup,A,Hard,3,Kevin Anderson,Benoit Paire,2-6 7-6(1) 7-6(5),115.0,72.0,54.0,19.0,105.0,63.0,51.0,18.0
2020-01-06,Atp Cup,A,Hard,3,Gilles Simon,Lloyd Harris,2-6 6-2 6-2,70.0,47.0,35.0,8.0,98.0,67.0,36.0,14.0
2020-01-06,Atp Cup,A,Hard,3,Gael Monfils,Cristian Garin,6-3 7-5,66.0,43.0,35.0,10.0,53.0,29.0,22.0,11.0
2020-01-06,Atp Cup,A,Hard,3,Benoit Paire,Nicolas Jarry,6-7(3) 6-3 6-3,105.0,50.0,40.0,26.0,96.0,64.0,41.0,16.0
2020-01-06,Atp Cup,A,Hard,3,Kevin Anderson,Cristian Garin,6-0 6-3,35.0,26.0,24.0,4.0,58.0,35.0,19.0,9.0
2020-01-06,Atp Cup,A,Hard,3,Lloyd Harris,Nicolas Jarry,6-4 6-4,56.0,38.0,32.0,8.0,63.0,44.0,28.0,8.0
2020-01-06,Atp Cup,A,Hard,3,Rafael Nadal,Yoshihito Nishioka,7-6(4) 6-4,76.0,48.0,33.0,18.0,69.0,51.0,34.0,7.0
